"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model10",10,659.286702925949,0,1,0.435958709735562,-318.99246388901,0.435958709735562,"EnergyDensity_mJ.kg_1 ~ Collection_Location + RunTimingGroup + Year + RunTimingGroup:Year"
"model3",6,659.724045426791,0.437342500841396,0.803585853245285,0.350330251742565,-323.619248146921,0.786288961478126,"EnergyDensity_mJ.kg_1 ~ Collection_Location + RunTimingGroup"
"model7",7,661.881991383344,2.5952884573951,0.273174572434413,0.11909283413107,-323.615414296323,0.905381795609197,"EnergyDensity_mJ.kg_1 ~ Collection_Location + RunTimingGroup + Year"
"model6",8,663.764074952294,4.47737202634494,0.106598481395524,0.0464725364089628,-323.460984844568,0.951854332018159,"EnergyDensity_mJ.kg_1 ~ Collection_Location + RunTimingGroup + Sex"
"model9",10,665.879610685095,6.59290775914553,0.0370141917313071,0.0161366592690853,-322.288917768583,0.967990991287245,"EnergyDensity_mJ.kg_1 ~ Collection_Location + RunTimingGroup + Sex + RunTimingGroup:Sex"
"model12",9,665.972888803579,6.68618587762955,0.03532752270473,0.0154013412165078,-323.457032637084,0.983392332503752,"EnergyDensity_mJ.kg_1 ~ Collection_Location + RunTimingGroup + Sex + Year"
"model2",4,667.070074593801,7.78337166785207,0.020410907616843,0.00889831294917062,-329.420751582615,0.992290645452923,"EnergyDensity_mJ.kg_1 ~ Collection_Location"
"model5",5,668.00375480728,8.71705188133114,0.012797237640719,0.00557906721002724,-328.829463610537,0.99786971266295,"EnergyDensity_mJ.kg_1 ~ Collection_Location + Year"
"model4",6,671.055830461868,11.7691275359186,0.00278205958418306,0.0012128631067279,-329.28514066446,0.999082575769678,"EnergyDensity_mJ.kg_1 ~ Collection_Location + Sex"
"model8",7,672.033258933436,12.7465560074868,0.00170655595001136,0.000743987930058499,-328.691048071369,0.999826563699737,"EnergyDensity_mJ.kg_1 ~ Collection_Location + Sex + Year"
"model11",9,674.945687783737,15.6589848577875,0.000397827354722918,0.000173436300262515,-327.943432127162,0.999999999999999,"EnergyDensity_mJ.kg_1 ~ Collection_Location + Sex + Year + Sex:Year"
"model1",2,727.135968422289,67.8492654963396,1.84807331812189e-15,8.05683659265139e-16,-361.53408590606,1,"EnergyDensity_mJ.kg_1 ~ 1"
