"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model18",7,-430.53269972677,0,1,0.413451511646561,222.593835243502,0.413451511646561,"Gonad_Wt~Collection_Location + EnergyDensity_mJ.kg_1 + Sex"
"model19",8,-429.162922993813,1.36977673295667,0.504146506083505,0.208440135031557,223.004990908671,0.621891646678118,"Gonad_Wt~Collection_Location + EnergyDensity_mJ.kg_1*Sex"
"model29",11,-428.294438439849,2.23826128692093,0.326563571429952,0.135018202256413,225.937638381601,0.756909848934531,"Gonad_Wt~Collection_Location + bodysize_pc + EnergyDensity_mJ.kg_1 + RunTimingGroup + Sex + Year"
"model12",7,-427.718809398464,2.81389032830549,0.244890241142816,0.101250240387988,221.186890079349,0.858160089322519,"Gonad_Wt~Collection_Location + bodysize_pc + Sex"
"model6",6,-426.601411537247,3.93128818952238,0.140065642009655,0.057910351418638,219.544891815135,0.916070440741157,"Gonad_Wt~Collection_Location + Sex"
"model13",8,-425.609951292892,4.92274843387747,0.0853176254443661,0.0352747012100682,221.228505058211,0.951345141951225,"Gonad_Wt~Collection_Location + bodysize_pc*Sex"
"model22",8,-424.699327586435,5.83337214033497,0.0541127162365011,0.0223729843272828,220.773193204982,0.973718126278508,"Gonad_Wt~Collection_Location + RunTimingGroup + Sex"
"model26",7,-424.434952412338,6.09774731443144,0.047412296826086,0.0196026857933807,219.544961586286,0.993320812071889,"Gonad_Wt~Collection_Location + Sex + Year"
"model27",9,-420.988038770369,9.54466095640038,0.00846063982999984,0.00349806432721054,220.026563763883,0.996818876399099,"Gonad_Wt~Collection_Location + Sex*Year"
"model23",10,-420.79806848831,9.73463123845966,0.00769399119362349,0.00318109228959896,221.053796148917,0.999999968688698,"Gonad_Wt~Collection_Location + RunTimingGroup*Sex"
"model28",29,-397.721646936202,32.8110527905679,7.50188519783788e-08,3.10166577524503e-08,233.699749642598,0.999999999705356,"Gonad_Wt~Collection_Location + (bodysize_pc + EnergyDensity_mJ.kg_1 + RunTimingGroup + Sex + Year)^2"
"model4",5,-386.018863836264,44.5138358905059,2.1574629791539e-10,8.92006330052670e-11,198.182842322756,0.999999999794557,"Gonad_Wt~Collection_Location + EnergyDensity_mJ.kg_1"
"model21",8,-384.349253773378,46.183445953392,9.36250652936433e-11,3.87094247736648e-11,200.598156298454,0.999999999833266,"Gonad_Wt~Collection_Location + EnergyDensity_mJ.kg_1*Year"
"model9",7,-383.941554641769,46.5911450850013,7.63592039183417e-11,3.15708282881664e-11,199.298262701001,0.999999999864837,"Gonad_Wt~Collection_Location + bodysize_pc*EnergyDensity_mJ.kg_1"
"model20",6,-383.925301477179,46.6073982495907,7.57411791794517e-11,3.13153050256373e-11,198.206836785101,0.999999999896152,"Gonad_Wt~Collection_Location + EnergyDensity_mJ.kg_1 + Year"
"model8",6,-383.902814211298,46.629885515472,7.48943428420865e-11,3.09651792618364e-11,198.195593152161,0.999999999927117,"Gonad_Wt~Collection_Location + bodysize_pc + EnergyDensity_mJ.kg_1"
"model2",4,-383.173773699842,47.358926026928,5.20163505319601e-11,2.15062387577763e-11,195.701829378657,0.999999999948624,"Gonad_Wt~Collection_Location"
"model16",7,-382.306370085978,48.2263296407913,3.37120822058362e-11,1.39383113487561e-11,198.480670423106,0.999999999962562,"Gonad_Wt~Collection_Location + EnergyDensity_mJ.kg_1 + RunTimingGroup"
"model3",5,-381.072699868205,49.4599998585645,1.81927140434294e-11,7.52180512220949e-12,195.709760338727,0.999999999970084,"Gonad_Wt~Collection_Location + bodysize_pc"
"model7",5,-381.057646865193,49.4750528615768,1.80563005559045e-11,7.46540475958336e-12,195.702233837221,0.999999999977549,"Gonad_Wt~Collection_Location + Year"
"model17",9,-380.867420697975,49.6652790287948,1.64180543043497e-11,6.7880693704287e-12,199.966254727686,0.999999999984337,"Gonad_Wt~Collection_Location + EnergyDensity_mJ.kg_1*RunTimingGroup"
"model5",6,-380.447195407215,50.0855043195544,1.3306717143955e-11,5.50168231822142e-12,196.467783750119,0.999999999989839,"Gonad_Wt~Collection_Location + RunTimingGroup"
"model14",6,-378.931370537179,51.6013291895912,6.23610956709233e-12,2.5783289273079e-12,195.709871315101,0.999999999992417,"Gonad_Wt~Collection_Location + bodysize_pc + Year"
"model24",7,-378.428308782299,52.1043909444713,4.84925770971545e-12,2.00493293044559e-12,196.541639771266,0.999999999994422,"Gonad_Wt~Collection_Location + RunTimingGroup + Year"
"model10",7,-378.294113528156,52.2385861986141,4.53455982276527e-12,1.87482061337406e-12,196.474542144195,0.999999999996297,"Gonad_Wt~Collection_Location + bodysize_pc + RunTimingGroup"
"model11",9,-377.826065301134,52.7066344256358,3.58839096588301e-12,1.48362566922319e-12,198.445577029265,0.999999999997781,"Gonad_Wt~Collection_Location + bodysize_pc*RunTimingGroup"
"model1",2,-377.620003487965,52.9126962388052,3.23708423295643e-12,1.33837736944308e-12,190.844092653073,0.999999999999119,"Gonad_Wt~1"
"model25",10,-375.67289177747,54.8598079492997,1.22276800004128e-12,5.05555278010107e-13,198.491207793497,0.999999999999625,"Gonad_Wt~Collection_Location + RunTimingGroup*Year"
"model15",8,-375.077395031113,55.4553046956567,9.07890745554291e-13,3.75368801159345e-13,195.962226927321,1,"Gonad_Wt~Collection_Location + bodysize_pc*Year"
