"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model12",9,644.137877803349,0,1,0.683511995363285,-312.536394522976,0.683511995363285,"bodysize_pc~Collection_Location + RunTimingGroup + Sex + Year"
"model6",8,646.407353045685,2.26947524233628,0.321506466759864,0.219753526617234,-314.780147111078,0.90326552198052,"bodysize_pc~Collection_Location + RunTimingGroup + Sex"
"model9",10,648.852426331061,4.71454852771228,0.0946779388843014,0.064713506923692,-313.771451260769,0.967979028904212,"bodysize_pc~Collection_Location + RunTimingGroup + Sex + RunTimingGroup:Sex"
"model8",7,652.72240247519,8.58452467184122,0.0136739551981685,0.00934631240200834,-319.033715857478,0.97732534130622,"bodysize_pc~Collection_Location + Sex + Year"
"model4",6,652.783507496716,8.64562969336669,0.0132624990498572,0.00906507718907157,-320.147567701846,0.986390418495292,"bodysize_pc~Collection_Location + Sex"
"model7",7,652.969878181741,8.83200037839163,0.0120824633302629,0.0082585086197717,-319.157453710753,0.994648927115063,"bodysize_pc~Collection_Location + RunTimingGroup + Year"
"model3",6,654.928825235712,10.7909474323626,0.00453707060588334,0.00310114218293143,-321.220226571344,0.997750069297995,"bodysize_pc~Collection_Location + RunTimingGroup"
"model11",9,656.358204620566,12.2203268172169,0.00222018798532534,0.00151752511993132,-318.646557931585,0.999267594417926,"bodysize_pc~Collection_Location + Sex + Year + Sex:Year"
"model10",10,659.246729641583,15.1088518382342,0.000523786751575551,0.000358014527714258,-318.96860291603,0.99962560894564,"bodysize_pc~Collection_Location + RunTimingGroup + Year + RunTimingGroup:Year"
"model2",4,660.605295741166,16.4674179378164,0.000265549586323252,0.000181506327615701,-326.187705341847,0.999807115273256,"bodysize_pc~Collection_Location"
"model5",5,660.612811677996,16.4749338746466,0.000264553532107572,0.000180825512611251,-325.132995434374,0.999987940785867,"bodysize_pc~Collection_Location + Year"
"model1",2,666.028218721013,21.8903409176635,1.76430175545574e-05,1.2059214132945e-05,-330.980018451415,1,"bodysize_pc~1"
