Fish_ID_Revised,Fish_ID,GillClip_ID_Revised,GillClip_ID,Collection_Date,RunTimingGroup,Collection_Location,Processing_Date,Col_Location_Lat,Col_Location_Long,Fish_Wt,Fish_Leng_1,Fish_Leng_1_tape,Fish_Leng_2,Fish_Leng_2_tape,Fish_Ht,Fish_Ht_tape,Fish_Wdth,Fish_Grth,Sex,Gonad_Wt,DWP#,Fem_Fecun_1_num,Fem_Fecun_1_wt,Fem_Fecun_2_num,Fem_Fecun_2_wt,Fem_Fecun_3_num,Fem_Fecun_3_wt,Fem_Egg_Sz_1,Fem_Egg_Sz_2,Fem_Egg_Sz_3,Carcass-guts_Wt,Oto_Well_ID,Strontium_marked_Y/N,Scales_Y/N,Scales_num,Fish_Ground_Y/N,Gonad_Saved_Y/N,Gonad_Saved_wt,Fat_Meter_1%_L,Fat_Meter_1%_R,Fat_Meter_2%_L,Fat_Meter_2%_R,Fat_Meter_3%_L,Fat_Meter_3%_R,Fat_Meter_4%_L,Fat_Meter_4%_R,Dissect_Comments,Date_LabDryStart,Fish+BagWt_g,Date_LabDryFinal,DryFish+BagWt_g,Pwater,Pdry,Dry_Comments,Date_BCProcess,Bomb_ID_1,Bomb_PelletWt_g_1,EE_Value_1,EnergyDensity_mJ/kg_1,EnergyPDry_1,Bomb_ID_2,Bomb_PelletWt_g_2,EE_value_2,EnergyDensity_mJ/kg_2,EnergyPDry_2,Bomb_ID_3,Bomb_PelletWt_g_3,EE_value_3,EnergyDensity_mJ/kg_3,EnergyPDry_3,Bomb_ID_4,Bomb_PelletWt_g_4,EE_value_4,EnergyDensity_mJ/kg_4,EnergyPDry_4,BC_comments
BC-1-2021,BC-1-2021,BC-1-21,BC-L-1,6/2/2021 (BC),Early,Baird Canyon,6/23/21,60.73831,-144.5687,2.328,45.4,,3.3,,13.7,,7.7,31,F,0.132,1-C1,10,0.4759,,,,,5.5,,,2.088,1-B5,N,Y,5,Y,Y,0.072,9.2,8,9.1,7.6,5.8,5.5,2.5,2.6,,9/24/21,64.7,9/28/21,23.6,0.6352,0.3648,,10/1/21,2,0.3798,955.4635,25.689,9.370330757,,9.0774,,,,,,,,,,,,,,
BC-2-2021,BC-2-2021,BC-2-21,BC-L-2,6/2/2021 (BC),Early,Baird Canyon,6/23/21,60.73831,-144.5687,1.646,42.2,,3.1,,11.4,,6.4,28.4,F,0.15,1-C3,10,0.5758,,,,,5,,,1.4,1-B7,N,Y,5,Y,Y,0.084,4.9,4.6,2.7,3.3,1.2,1.4,1.3,1.5,,9/24/21,71.4,9/30/21,22.5,0.6849,0.3151,,10/1/21,2,0.2907,955.4635,25.4255,8.012237395,,,,,,,,,,,,,,,,
BC-3-2021,BC-3-2021,BC-3-21,BC-L-3,6/2/2021 (BC),Early,Baird Canyon,6/23/21,60.73831,-144.5687,2.564,46.3,,4.1,,14.2,,7.7,34.3,F,0.222,1-B7,12,0.8384,,,,,4.1,,,2.222,1-B3,N,Y,5,Y,Y,0.11,10.3,10.4,7.8,7.4,5.7,5.2,3.1,4.2,,9/24/21,122,9/30/21,43.1,0.6467,0.3533,,10/1/21,4,0.3544,923.3249,26.1136,9.225378361,,,,,,,,,,,,,,,,
BC-4-2021,BC-4-2021,BC-4-21,BC-L-4,6/2/2021 (BC),Early,Baird Canyon,6/23/21,60.73831,-144.5687,1.984,46.5,,4.3,,12.3,,6.5,29.5,F,0.088,1-B3,10,0.276,,,,,4.5,,,1.804,1-A11,N,Y,6,Y,Y,0.04,7,14.3,11.5,12.1,3.9,4.4,2.6,3.2,,9/24/21,115,9/30/21,42.9,0.627,0.373,,10/1/21,2,0.3475,955.4635,28.4498,10.61301235,,,,,,,,,,,,,,,,
BC-5-2021,BC-5-2021,BC-5-21,BC-L-5,6/2/2021 (BC),Early,Baird Canyon,6/23/21,60.73831,-144.5687,2.44,46.6,,3.3,,13.8,,7.9,33,F,0.112,1-B8,10,0.1978,,,,,4.5,,,2.198,1-B4,N,Y,5,Y,Y,0.052,7,7.2,6.4,8.5,2.9,3.5,2.6,2.1,,9/24/21,106.6,9/30/21,36.2,0.6604,0.3396,,10/1/21,4,0.3263,923.3249,26.0386,8.84237636,,,,,,,,,,,,,,,,
BC-6-2021,BC-6-2021,BC-6-21,BC-L-6,6/2/2021 (BC),Early,Baird Canyon,6/11/21,60.73831,-144.5687,3.462,53.6,,5.9,,14.9,,7.8,37,M,0.066,1-A1,,,,,,,,,,3.24,1-A1,N,Y,,Y,Y,0.032,15,14.6,10.2,12,4.7,10.3,3.7,3.8,,9/24/21,148.9,9/30/21,55.2,0.6293,0.3707,,10/1/21,4,0.4734,923.3249,25.2722,9.368874681,2,0.3773,955.4635,26.8256,9.944748959,4,0.3954,923.3249,26.0424,9.865406987,,,,,,
BC-7-2021,BC-7-2021,BC-7-21,BC-L-7,6/2/2021 (BC),Early,Baird Canyon,6/23/21,60.73831,-144.5687,1.892,43.6,,3.4,,12.8,,6.4,30.5,F,0.132,1-C4,10,0.3339,,,,,5.2,,,1.674,1-B8,N,Y,5,Y,Y,0.064,7.6,6.4,7,6.5,3.7,4.8,1.4,3.3,,9/24/21,91.6,9/30/21,34.7,0.6212,0.3788,,10/1/21,2,0.3331,955.4635,27.0696,10.25453188,,,,,,,,,,,,,,,,
BC-8-2021,BC-8-2021,BC-8-21,BC-L-8,6/2/2021 (BC),Early,Baird Canyon,6/11/21,60.73831,-144.5687,2.306,45.1,,4.8,,12.5,,6.4,71.5,M,0.078,1-A4,,,,,,,,,,2.124,1-A4,N,Y,8,Y,Y,0.038,8.3,8.9,9,9.6,6.1,5.3,2.9,2.9,,9/24/21,104.9,9/30/21,36.8,0.6492,0.3508,,10/1/21,4,0.3048,923.3249,26.467,9.284896092,,,,,,,,,,,,,,,,
BC-9-2021,BC-9-2021,BC-9-21,BC-L-9,6/2/2021 (BC),Early,Baird Canyon,6/11/21,60.73831,-144.5687,2.682,48.7,,4.8,,13.8,,7.9,34.4,M,0.048,1-A3,,,,,,,,,,2.506,1-A3 (No otoliths),NO READ,Y,,Y,Y,0.026,12.4,12.9,11.8,12.4,8.6,8.2,3.5,3.7,,9/24/21,125.3,9/30/21,47.2,0.6233,0.3767,,10/1/21,2,0.3223,955.4635,26.7901,10.09172163,,,,,,,,,,,,,,,,
BC-10-2021,BC-10-2021,BC-10-21,BC-L-10,6/2/2021 (BC),Early,Baird Canyon,6/11/21,60.73831,-144.5687,1.87,44.8,,3.9,,12.5,,6,30,M,0.04,1-B2,,,,,,,,,,1.732,1-A10,N,Y,,Y,Y,0.02,9.9,10,12.1,9.8,5.2,6.4,2.7,3.4,,9/24/21,78.7,9/30/21,31,0.6061,0.3939,,10/1/21,4,0.2511,923.3249,23.3946,9.215153748,,,,,,,,,,,,,,,,
