"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model3",4,390.879687551964,0,1,0.423488154395435,-191.239843775982,0.423488154395435,"bodysize_pc_g_mm~Collection_RiverMile_m + Sex"
"model7",5,391.775833511302,0.896145959337844,0.638858058680975,0.270548820191457,-190.584886452621,0.694036974586892,"bodysize_pc_g_mm~Collection_RiverMile_m + Sex + Year"
"model9",6,393.67097028295,2.79128273098581,0.247674135771827,0.104887062649495,-190.406913712904,0.798924037236388,"bodysize_pc_g_mm~Collection_RiverMile_m + Sex + Year + Sex:Year"
"model5",13,394.55708231562,3.67739476365517,0.159024439372613,0.0673449663336765,-182.27854115781,0.866269003570064,"bodysize_pc_g_mm~Collection_RiverMile_m + Group_Assignment + Sex"
"model10",14,395.218401244142,4.33871369217741,0.11425107431141,0.0483839765978349,-181.275867288738,0.914652980167899,"bodysize_pc_g_mm~Collection_RiverMile_m + Group_Assignment + Sex + Year"
"model4",4,395.366424048323,4.48673649635822,0.106100528929244,0.0449323171766252,-193.483212024161,0.959585297344524,"bodysize_pc_g_mm~Collection_RiverMile_m + Year"
"model6",13,396.843304037098,5.96361648513346,0.0507010710903001,0.021471303021903,-183.421652018549,0.981056600366427,"bodysize_pc_g_mm~Collection_RiverMile_m + Group_Assignment + Year"
"model2",12,397.286379876686,6.40669232472186,0.0406260349745177,0.0172046445717629,-184.94753776443,0.99826124493819,"bodysize_pc_g_mm~Collection_RiverMile_m + Group_Assignment"
"model1",2,401.94605367908,11.0663661271157,0.00395338516394005,0.00167421178669127,-198.914203310128,0.999935456724881,"bodysize_pc_g_mm~1"
"model8",20,408.457577334074,17.5778897821099,0.000152408690653079,6.45432751184972e-05,-179.228788667037,1,"bodysize_pc_g_mm~Collection_RiverMile_m + Group_Assignment + Sex + Group_Assignment:Sex"
