"","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"(Intercept)",0.436506044181145,-0.769360724154125,1.64237281251641,0.610745081498693,1
"Collection_RiverMile_m",-1.43063394182834e-05,-2.33198256989151e-05,-5.29285313765159e-06,4.54487845064996e-06,0.9979668
"SexM",0.715942993016069,0.050688952802634,1.3811970332295,0.336325212162947,0.9502672
"Group_AssignmentChitina",0.378909825422206,-1.15627748059647,1.91409713144088,0.780900525293982,0.2343056
"Group_AssignmentGulkana",0.211293780404321,-1.0474443776803,1.47003193848895,0.636933045235158,0.2343056
"Group_AssignmentGulkanaHatchery",0.364742756611978,-1.09059595315208,1.82008146637604,0.740514820651756,0.2343056
"Group_AssignmentKlutinaLake",0.250767051276539,-0.838343655858385,1.33987775841146,0.553278290716762,0.2343056
"Group_AssignmentKlutinaTonsinaOutlet",0.255315031391268,-0.930065696888879,1.44069575967142,0.601538240093338,0.2343056
"Group_AssignmentSlana",0.128142238551277,-0.729900710096625,0.986185187199179,0.433705340958282,0.2343056
"Group_AssignmentTanadaCopperLakes",0.490388909598813,-1.39349340905074,2.37427122824837,0.959330815681182,0.2343056
"Group_AssignmentTazlina",-0.126149799951889,-1.21925933247525,0.966959732571475,0.551706658476142,0.2343056
