"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model5",5,659.720009242107,0,1,0.705069833320466,-324.686594216429,0.705069833320466,"bodysize_collectionlocation_resid~RunTimingGroup + Sex"
"model11",7,663.064088223045,3.34407898093843,0.187863528785341,0.132456906927675,-324.204558731406,0.837526740248141,"bodysize_collectionlocation_resid~RunTimingGroup + Sex + Year"
"model8",7,663.257923078147,3.53791383604039,0.170510752791697,0.120221988050189,-324.301476158957,0.95774872829833,"bodysize_collectionlocation_resid~RunTimingGroup + Sex + RunTimingGroup:Sex"
"model3",3,665.739092843563,6.01908360145592,0.0493142693468878,0.0347700036687307,-329.80097499321,0.992518731967061,"bodysize_collectionlocation_resid~Sex"
"model7",5,669.069204077928,9.34919483582121,0.00932928018292924,0.00657779402357785,-329.36119163434,0.999096525990638,"bodysize_collectionlocation_resid~Sex + Year"
"model10",7,673.043029304417,13.3230200623107,0.00127921325934666,0.000901934679548881,-329.194029272092,0.999998460670187,"bodysize_collectionlocation_resid~Sex + Year + Sex:Year"
"model2",4,686.364832421737,26.6448231796304,1.63738256209209e-06,1.15446905013611e-06,-339.067473682133,0.999999615139238,"bodysize_collectionlocation_resid~RunTimingGroup"
"model6",6,689.748176787084,30.028167544977,3.01624258158059e-07,2.12666165424912e-07,-338.62990234703,0.999999827805403,"bodysize_collectionlocation_resid~RunTimingGroup + Year"
"model1",2,690.609419781624,30.889410539517,1.96087417448266e-07,1.38255322736489e-07,-343.270618981721,0.999999966060726,"bodysize_collectionlocation_resid~1"
"model4",4,693.960859555401,34.2408503132946,3.67023461312443e-08,2.58777170692265e-08,-342.865487248965,0.999999991938443,"bodysize_collectionlocation_resid~Year"
"model9",10,696.293410582825,36.5734013407177,1.14337003616153e-08,8.06155720820023e-09,-337.49194338665,1,"bodysize_collectionlocation_resid~RunTimingGroup + Year + RunTimingGroup:Year"
