"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model12",9,664.148225010754,0,1,0.51897774699315,-322.541568126679,0.51897774699315,"bodysize_pc~Collection_Location + RunTimingGroup + Sex + Year"
"model6",8,664.706210044848,0.557985034093804,0.756545564388841,0.392630312504182,-323.929575610659,0.911608059497331,"bodysize_pc~Collection_Location + RunTimingGroup + Sex"
"model9",10,668.386931233163,4.23870622240929,0.12010930074697,0.062334054294585,-323.53870371182,0.973942113791916,"bodysize_pc~Collection_Location + RunTimingGroup + Sex + RunTimingGroup:Sex"
"model4",6,671.136701347399,6.98847633664502,0.0303718778838075,0.0157623287560895,-329.324164627188,0.989704442548006,"bodysize_pc~Collection_Location + Sex"
"model8",7,672.233417198126,8.08519218737183,0.0175518469781773,0.00910901800030298,-328.789223218946,0.998813460548309,"bodysize_pc~Collection_Location + Sex + Year"
"model11",9,676.317160211924,12.1689352011704,0.00227797679497952,0.00118221926476115,-328.626035727264,0.99999567981307,"bodysize_pc~Collection_Location + Sex + Year + Sex:Year"
"model7",7,689.103964609117,24.9557395983632,3.81004408059897e-06,1.97732809289384e-06,-337.224496924442,0.999997657141163,"bodysize_pc~Collection_Location + RunTimingGroup + Year"
"model3",6,689.245850113392,25.0976251026377,3.549114041782e-06,1.84191120922577e-06,-338.378739010184,0.999999499052372,"bodysize_pc~Collection_Location + RunTimingGroup"
"model1",2,694.044838682212,29.8966136714586,3.22131227459486e-07,1.67178938663062e-07,-344.988328432015,0.999999666231311,"bodysize_pc~1"
"model2",4,694.076784333251,29.9285593224974,3.17026756506202e-07,1.64529831828134e-07,-342.92344963789,0.999999830761142,"bodysize_pc~Collection_Location"
"model5",5,695.247786620583,31.0995616098289,1.76528975851952e-07,9.16146101666544e-08,-342.450482905667,0.999999922375753,"bodysize_pc~Collection_Location + Year"
"model10",10,695.579208446662,31.4309834359083,1.49571437123482e-07,7.76242474528722e-08,-337.134842318569,1,"bodysize_pc~Collection_Location + RunTimingGroup + Year + RunTimingGroup:Year"
