"","Avg_Coef","CI_Lower","CI_Upper"
"(Intercept)",-0.160911401815686,-0.67204205498283,0.350219251351458
"RunTimingGroupLate",-0.737805676636139,-1.33643618101608,-0.139175172256201
"RunTimingGroupMiddle",-0.736894831184642,-1.32192964675962,-0.151860015609668
"SexM",1.27115434973861,0.748346543140903,1.79396215633633
"Year2020",-0.155727408573773,-0.703320606575201,0.391865789427654
"Year2021",0.109024124364151,-0.436834735056287,0.654882983784588
"RunTimingGroupLate:SexM",-0.459560791364051,-1.55069285108009,0.631571268351989
"RunTimingGroupMiddle:SexM",-0.339410646815283,-1.42523910257349,0.746417808942919
"SexM:Year2020",0.104295689692372,-1.01642037011389,1.22501174949863
"SexM:Year2021",0.315702031898638,-0.800524643781991,1.43192870757927
"RunTimingGroupLate:Year2020",0.856701332731731,-0.59708656273536,2.31048922819882
"RunTimingGroupMiddle:Year2020",0.112390769195466,-1.33192609453759,1.55670763292852
"RunTimingGroupLate:Year2021",0.174711054104634,-1.26960580962842,1.61902791783769
"RunTimingGroupMiddle:Year2021",0.294364327096494,-1.14995253663656,1.73868119082955
