"","Avg_Coef","CI_Lower","CI_Upper","SE"
"(Intercept)",0.0883808587353174,-0.918997117034072,1.09575883450471,0.510441560605593
"Collection_RiverMile_m",-1.67010198033393e-06,-1.00935181941425e-05,6.75331423347461e-06,4.26929843917069e-06
"RunTimingGroupLate",-0.961786830707987,-1.60130465160707,-0.322269009808901,0.324144246784537
"RunTimingGroupMiddle",-0.740499136499541,-1.31452478033965,-0.166473492659433,0.290885443011009
"SexM",1.26344108032524,0.757807522016825,1.76907463863365,0.256336805968497
"Year2020",-0.292775159662733,-0.997147524862972,0.411597205537506,0.35687996054861
"Year2021",0.222528148967429,-0.726412069225551,1.17146836716041,0.480823193812379
"RunTimingGroupLate:SexM",-0.45850140430654,-1.55056047649356,0.633557667880477,0.553262847676525
"RunTimingGroupMiddle:SexM",-0.338691611653217,-1.42534435939602,0.747961136089588,0.550523876375753
"SexM:Year2020",0.101477533427244,-1.02005768059492,1.22301274744941,0.568196155393635
"SexM:Year2021",0.314725718633179,-0.8021463801129,1.43159781737926,0.565833711362542
