"","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"(Intercept)",0.552989999991402,-0.594945663778029,1.70092566376083,0.581753811392987,1
"Collection_RiverMile_m",-3.97571892695304e-06,-1.33481222421648e-05,5.3966843882587e-06,4.75165255075369e-06,0.9999989367
"RunTimingGroupLate",-0.988598121458756,-1.63469861652877,-0.342497626388741,0.327745559973098,0.9943143436
"RunTimingGroupMiddle",-0.721066534596263,-1.2603631758717,-0.181769893320822,0.273365103903809,0.9943143436
"SexM",0.747632006047591,0.257990750396861,1.23727326169832,0.248405291349545,0.9938102633
"Year2020",-0.200760010330042,-0.800061540402684,0.398541519742599,0.304124897425668,0.6518253418
"Year2021",0.236734673525776,-0.547651090939307,1.02112043799086,0.39793670227034,0.6518253418
"RunTimingGroupLate:SexM",-0.0503578366925828,-0.495459648597486,0.39474397521232,0.226475635684013,0.0745580097
"RunTimingGroupMiddle:SexM",-0.0281523521634557,-0.366127296960277,0.309822592633365,0.17162841817096,0.0745580097
"SexM:Year2020",1.26326091469202e-05,-0.0236521718482946,0.0236774370665884,0.0119893298596146,0.0005110073
"SexM:Year2021",0.000194430401230855,-0.0287576673845737,0.0291465281870354,0.0147031160506456,0.0005110073
