"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model7",6,719.470409783238,0,1,0.453549297090478,-353.538943209376,0.453549297090478,"bodysize_pc_g_mm~ Gonad_Wt_g + Sex + Year"
"model10",8,719.957199192614,0.486789409376343,0.783962019211767,0.355565422759129,-351.638976954798,0.809114719849606,"bodysize_pc_g_mm~Gonad_Wt_g + Sex + Year + Sex:Year"
"model11",7,721.495871317359,2.02546153412106,0.363225739150625,0.164740778676935,-353.485024860557,0.973855498526542,"bodysize_pc_g_mm~ Gonad_Wt_g + Work + Sex + Year"
"model3",4,726.121632016132,6.65122223289438,0.0359505420714124,0.0163053430865107,-358.968223415474,0.990160841613052,"bodysize_pc_g_mm~ Gonad_Wt_g + Sex"
"model5",5,727.785564111938,8.31515432870003,0.0156454183139562,0.00709596847898133,-358.753247172248,0.997256810092034,"bodysize_pc_g_mm~ Gonad_Wt_g + Work + Sex"
"model8",6,729.686374831303,10.2159650480647,0.00604827286816204,0.0027431899079663,-358.646925733408,1,"bodysize_pc_g_mm~ Gonad_Wt_g + Work + Sex + Work:Sex"
"model4",5,814.536316126207,95.0659063429695,2.27353020843913e-21,1.03115802795153e-21,-402.128623179383,1,"bodysize_pc_g_mm~ Gonad_Wt_g + Year"
"model6",6,816.413724255853,96.9433144726147,8.89255855482588e-22,4.0332136818772e-22,-402.010600445683,1,"bodysize_pc_g_mm~ Gonad_Wt_g + Work + Year"
"model1",2,817.906972767452,98.4365629842137,4.21475116347518e-22,1.91159742760544e-22,-406.925963447946,1,"bodysize_pc_g_mm~1"
"model2",4,819.196145122191,99.7257353389527,2.21223734425682e-22,1.00335869248499e-22,-405.505479968503,1,"bodysize_pc_g_mm~ Gonad_Wt_g + Work"
"model9",8,820.572213818979,101.101804035741,1.11178855347872e-22,5.04250916943511e-23,-401.94648426798,1,"bodysize_pc_g_mm~ Gonad_Wt_g + Work + Year + Work:Year"
