"","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"(Intercept)",-1.39016157400953,-1.87998539186687,-0.900337756152193,0.248817266145101,1
"Gonad_Wt_g",9.86811120905443e-05,-0.000304976155726828,0.000502338379907917,0.000204786357921332,1
"Work164.7",0.0540646068206727,-0.31986193036249,0.427991144003836,0.189816175140836,0.41159041
"Work171.6",0.239277162618141,-0.425196574051456,0.903750899287739,0.338473347803665,0.41159041
"Work298.2",0.113723530379737,-0.330287247861405,0.55773430862088,0.225715843540754,0.41159041
"Work416.8",0.35079470752226,-0.57571831426529,1.27730772930981,0.472145203554935,0.41159041
"Work443.1",-0.00693418942230719,-0.377694206838183,0.363825827993568,0.1880803825555,0.41159041
"Work471.1",-0.0490677862091964,-0.43787761346159,0.339742041043197,0.19733964666938,0.41159041
"SexM",1.91030563571744,1.40010784889037,2.42050342254452,0.259345420472964,1
"Year2020",0.41185668917079,-0.109717284380772,0.933430662722351,0.264752212175725,0.9689234
"Year2021",0.695589496950037,0.110363251414133,1.28081574248594,0.297699094109926,0.9689234
"SexM:Year2020",-0.0288868324164102,-0.484282809095629,0.426509144262809,0.231095127186729,0.25346865
"SexM:Year2021",-0.171112257739042,-0.86183507108016,0.519610555602075,0.351808091607124,0.25346865
"SexM:Work164.7",0.000982203968160658,-0.0651188923982769,0.0670833003345983,0.0336471525598995,0.00140456
"SexM:Work171.6",0.00182340578525555,-0.102253064504747,0.105899876075258,0.0530508997212694,0.00140456
"SexM:Work298.2",0.00131692486500027,-0.0792304397092192,0.0818642894392197,0.0410313180898215,0.00140456
"SexM:Work416.8",0.000969308920218009,-0.0701020945896439,0.0720407124300799,0.0361569346674535,0.00140456
"SexM:Work443.1",-6.32860348235806e-05,-0.0437974108603566,0.0436708387907094,0.0221833994291333,0.00140456
"SexM:Work471.1",0.000683644371355502,-0.0557110680952028,0.0570783568379138,0.0286722653538014,0.00140456
