"","Avg_Coef","CI_Lower","CI_Upper","SE"
"(Intercept)",-0.913954847487272,-1.75322568307189,-0.0746840119026506,0.426268572793353
"SpawnStatus1",-0.293190562997251,-0.807992293555574,0.221611167561071,0.261350989267433
"SpawnStatus2",-1.33152470062282,-1.8842559461871,-0.778793455058537,0.280667791722163
"SpawnStatus3",0.396915287266396,-0.798496696557165,1.59232727108996,0.606867837985678
"Collection_RegionMiddle",0.344166686563491,-0.201573417036363,0.889906790163344,0.277278630827223
"Collection_RegionMiddle-Upper",-0.0392955247778731,-0.555351909257721,0.476760859701975,0.261960462956562
"Collection_RegionUpper",0.526786172174572,-0.0411533292301797,1.09472567357932,0.288530509887301
"SexM",1.5865267454439,1.11701473978648,2.05603875110133,0.238627486511681
"Collection_RegionMiddle:SexM",0.586128070171611,-0.333062743024774,1.505318883368,0.46657848780563
"Collection_RegionMiddle-Upper:SexM",-0.00285328396766946,-0.955244821254152,0.949538253318813,0.483431075339814
"Collection_RegionUpper:SexM",0.579902390033458,-0.388964853583324,1.54876963365024,0.491794094241612
"Collection_LocationFish Creek Gulkana",0.198032469174673,-2.20721442833299,2.60327936668234,1.22078931116676
"Collection_LocationGulkana Hatchery",0.555581929297939,-1.83470171487692,2.94586557347279,1.21319099449992
"Collection_LocationKlutina Lake",0.417397619570629,-2.10372773403819,2.93852297317944,1.27959072982074
"Collection_LocationKlutina River",0.530018988321221,-2.78807974879182,3.84811772543426,1.68413426569344
"Collection_LocationLong Lake",0.420630591571095,-1.97109669870934,2.81235788185153,1.21392121260676
"Collection_LocationMahlo",0.512523508991106,-1.86625685243769,2.8913038704199,1.20734951395189
"Collection_LocationMentasta",0.943356119213215,-1.43067415187615,3.31738639030258,1.20493703306904
"Collection_LocationSt Anne",1.20992784971865,-1.15905431655214,3.57891001598945,1.20237473205808
"Collection_LocationTanada",1.18363222435922,-1.24087502341565,3.60813947213408,1.23056553779968
"Collection_LocationUpper Klutina",0.710444744625303,-2.59259563864825,4.01348512789886,1.67644915475881
"Year2020",0.136959846284656,-0.325453877596288,0.5993735701656,0.234786093201958
"Year2021",0.277000536245562,-0.11192391189651,0.665924984387634,0.197433899579908
"SexM:Year2020",0.275413243647434,-0.563459047869122,1.11428553516399,0.42582749073628
"SexM:Year2021",-0.0753408152667631,-0.79261315527653,0.641931524743003,0.364101048287957
"Collection_RegionMiddle:Year2020",-0.148508554526777,-1.69703608512495,1.4000189760714,0.785958060350486
"Collection_RegionMiddle-Upper:Year2020",0.300996745215436,-1.23830570131686,1.84029919174773,0.781275851583953
"Collection_RegionUpper:Year2020",-1.07474068346909,-2.73884313750969,0.58936177057152,0.844618330096471
"Collection_RegionMiddle:Year2021",-0.477853524947562,-1.84063954231767,0.884932492422547,0.691684606001954
"Collection_RegionMiddle-Upper:Year2021",0.119608842492545,-1.31808350892364,1.55730119390873,0.729703456717562
"Collection_RegionUpper:Year2021",-0.576775461383999,-1.98332808605628,0.829777163288283,0.713898429846629
