"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model17",7,151.563476253522,0,1,0.307995728115448,-68.081738126761,0.307995728115448,"Fem_Egg_Sz_1~Collection_RiverMile_m + bodysize_pc + EnergyPDry_1 + RunTimingGroup"
"model21",9,152.3041536629,0.740677409377867,0.690500415297108,0.212671178173452,-65.9982306776038,0.5206669062889,"Fem_Egg_Sz_1~Collection_RiverMile_m + bodysize_pc + EnergyPDry_1 + RunTimingGroup + Year"
"model13",8,152.476003457849,0.912527204326778,0.633646784418595,0.195160502735018,-67.3266093238611,0.715827409023918,"Fem_Egg_Sz_1~Collection_RiverMile_m + EnergyPDry_1*RunTimingGroup"
"model20",8,154.059047596566,2.49557134304388,0.287139915512126,0.0884378673491654,-68.1181313932197,0.804265276373083,"Fem_Egg_Sz_1~Collection_RiverMile_m +  EnergyPDry_1 + RunTimingGroup + Year"
"model8",6,154.12635245258,2.56287619905791,0.277637742513284,0.0855112386577083,-70.5446577077715,0.889776515030791,"Fem_Egg_Sz_1~Collection_RiverMile_m + bodysize_pc + RunTimingGroup"
"model12",6,155.420363972262,3.85688771873973,0.145374245327398,0.0447746465388458,-71.1916634676124,0.934551161569637,"Fem_Egg_Sz_1~Collection_RiverMile_m + EnergyPDry_1 + RunTimingGroup"
"model9",8,155.774399524176,4.21092327065443,0.121789438982465,0.0375106269361764,-68.975807357025,0.972061788505814,"Fem_Egg_Sz_1~Collection_RiverMile_m + bodysize_pc*RunTimingGroup"
"model19",8,156.91295839646,5.34948214293775,0.068924672648617,0.0212285047375297,-69.5450867931666,0.993290293243343,"Fem_Egg_Sz_1~Collection_RiverMile_m + bodysize_pc + RunTimingGroup + Year"
"model4",5,161.59296836441,10.0294921108876,0.00663931784177505,0.00204488153286739,-75.4306305236682,0.995335174776211,"Fem_Egg_Sz_1~Collection_RiverMile_m + RunTimingGroup"
"model16",7,162.936503639651,11.3730273861292,0.00339139583002755,0.00104453542799703,-73.7682518198256,0.996379710204208,"Fem_Egg_Sz_1~Collection_RiverMile_m + RunTimingGroup + Year"
"model14",6,163.777250870794,12.2137746172722,0.00222747347059557,0.000686052313433928,-75.3701069168786,0.997065762517642,"Fem_Egg_Sz_1~Collection_RiverMile_m + EnergyPDry_1 + Year"
"model6",5,163.892709447001,12.3292331934788,0.00210252432475746,0.000647568510284115,-76.5805010649639,0.997713331027926,"Fem_Egg_Sz_1~Collection_RiverMile_m + bodysize_pc + EnergyPDry_1"
"model3",4,164.094640700406,12.531164446884,0.00190060651858459,0.000585378688552428,-77.8063564947814,0.998298709716478,"Fem_Egg_Sz_1~Collection_RiverMile_m + EnergyPDry_1"
"model7",6,164.659902633996,13.0964263804736,0.00143267322713903,0.000441257233744194,-75.8114327984793,0.998739966950222,"Fem_Egg_Sz_1~Collection_RiverMile_m + bodysize_pc*EnergyPDry_1"
"model18",7,164.842931681023,13.2794554275008,0.00130738317783852,0.000402668433784263,-74.7214658405114,0.999142635384007,"Fem_Egg_Sz_1~Collection_RiverMile_m + bodysize_pc + EnergyPDry_1 + Year"
"model2",4,165.295336488645,13.7318602351232,0.00104271215650054,0.000321150889856213,-78.4067043889009,0.999463786273863,"Fem_Egg_Sz_1~Collection_RiverMile_m + bodysize_pc"
"model1",2,166.223692461734,14.6602162082116,0.000655502720759803,0.000201892037762073,-81.0412579955727,0.999665678311625,"Fem_Egg_Sz_1~1"
"model15",8,166.650068007602,15.0865917540799,0.000529649083643689,0.000163129655162518,-74.4136415987377,0.999828807966788,"Fem_Egg_Sz_1~Collection_RiverMile_m + EnergyPDry_1*Year"
"model10",6,167.68906656161,16.125590308088,0.000315044974215115,9.70325062224969e-05,-77.3260147622865,0.99992584047301,"Fem_Egg_Sz_1~Collection_RiverMile_m + bodysize_pc + Year"
"model5",5,169.495875439307,17.9323991857854,0.000127652402572289,3.93163946759384e-05,-79.3820840611171,0.999965156867686,"Fem_Egg_Sz_1~Collection_RiverMile_m + Year"
"model11",8,169.737446530468,18.1739702769462,0.000113128622034401,3.48431323141826e-05,-75.9573308601708,1,"Fem_Egg_Sz_1~Collection_RiverMile_m + bodysize_pc*Year"
