"","Parameter","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"1","(Intercept)",5.95358206052404,3.39644305937011,8.51072106167797,1.2964171471042,1
"2","Collection_RiverMile_m",-4.41138719704604e-06,-1.05344127070861e-05,1.71163831299399e-06,3.09038347275639e-06,0.692004271884552
"3","bodysize_pc",-0.140260772864572,-0.281865127917141,0.0013435821879984,0.0714817368633808,0.320457322991764
"4","EnergyPDry_1",-0.122343444496114,-0.376688535158984,0.132001646166755,0.128972634824231,0.279961830296319
"5","RunTimingGroupLate",0.194679649062062,-2.07657842444155,2.46593772256568,1.15515585542125,0.11363843577923
"6","RunTimingGroupMiddle",0.0649092842533236,-2.75447143198991,2.88429000049655,1.43509645670227,0.11363843577923
"7","Year2020",0.192079511380357,-0.18810687147189,0.572265894232603,0.191150553826565,0.0887412246448991
"8","Year2021",-0.112946092294899,-0.62497861259349,0.399086428003691,0.257451024433661,0.0887412246448991
"9","bodysize_pc:EnergyPDry_1",-0.064449408886707,-0.170411197955762,0.0415123801823476,0.0532749782701603,0.0375106269361764
"10","bodysize_pc:RunTimingGroupLate",0.236342322976486,-0.0494738486515657,0.522158494604539,0.143648859751658,0.00204488153286739
"11","bodysize_pc:RunTimingGroupMiddle",0.066860363530399,-0.202447969969629,0.336168697030427,0.135352155927839,0.00204488153286739
"12","bodysize_pc:Year2020",0.25858275758814,-0.0876695193081988,0.604835034484479,0.174023549749669,0.000686052313433928
"13","bodysize_pc:Year2021",-0.00473036286786168,-0.251901940051891,0.242441214316168,0.124226404066843,0.000686052313433928
"14","EnergyPDry_1:RunTimingGroupLate",-0.290723521141678,-0.554097724974067,-0.0273493173092895,0.132369711108432,0.000585378688552428
"15","EnergyPDry_1:RunTimingGroupMiddle",-0.363114731980296,-0.636126665582096,-0.0901027983784957,0.137213554912247,0.000585378688552428
"16","EnergyPDry_1:Year2020",0.173862175456319,-0.164645881485007,0.512370232397644,0.170131368422535,0.000402668433784263
"17","EnergyPDry_1:Year2021",0.195824295283995,-0.13364927636125,0.525297866929241,0.165590710335092,0.000402668433784263
