"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model13",11,109.41649550141,0,1,0.854308930556714,-41.9000285726228,0.854308930556714,"Fem_Egg_Sz_1~Gonad_Wt_g + bodysize_pc_g_mm + EnergyPDry_1 + Collection_Location"
"model17",13,113.131660811073,3.71516530966281,0.15604940005662,0.133314396076388,-41.0024501238463,0.987623326633102,"Fem_Egg_Sz_1~Gonad_Wt_g + bodysize_pc_g_mm + EnergyPDry_1 + Collection_Location + Year"
"model10",16,118.157151810748,8.74065630933808,0.0126470896854468,0.0108045216638289,-39.078575905374,0.99842784829693,"Fem_Egg_Sz_1~Gonad_Wt_g + EnergyPDry_1*Collection_Location"
"model7",10,123.380525634852,13.9640301334418,0.000928430467657059,0.000793166439920371,-50.2037763309394,0.999221014736851,"Fem_Egg_Sz_1~Gonad_Wt_g + bodysize_pc_g_mm + Collection_Location"
"model15",12,123.4223172956,14.0058217941901,0.000909231430578806,0.000776764531086331,-47.5444919811334,0.999997779267937,"Fem_Egg_Sz_1~Gonad_Wt_g + bodysize_pc_g_mm + Collection_Location + Year"
"model9",10,136.264314973108,26.847819471698,1.47934707089031e-06,1.26381941405451e-06,-56.6456710000675,0.999999043087351,"Fem_Egg_Sz_1~Gonad_Wt_g + EnergyPDry_1 + Collection_Location"
"model4",9,137.194196631535,27.7777011301254,9.29284812871967e-07,7.93896314667245e-07,-58.3970983157677,0.999999836983666,"Fem_Egg_Sz_1~Gonad_Wt_g + Collection_Location"
"model16",12,141.616860521864,32.2003650204544,1.01807454333873e-07,8.69750174346729e-08,-56.6417635942655,0.999999923958683,"Fem_Egg_Sz_1~Gonad_Wt_g +  EnergyPDry_1 + Collection_Location + Year"
"model12",11,141.885655005867,32.4691595044573,8.90044247437058e-08,7.60372749176108e-08,-58.1346083248515,0.999999999995958,"Fem_Egg_Sz_1~Gonad_Wt_g + Collection_Location + Year"
"model6",5,161.753927215359,52.3374317139492,4.31589733030577e-12,3.68710963264609e-12,-75.4972167722365,0.999999999999645,"Fem_Egg_Sz_1~Gonad_Wt_g + bodysize_pc_g_mm + EnergyPDry_1"
"model14",7,166.439180507851,57.0226850064409,4.14649627143995e-13,3.54238879521127e-13,-75.4923175266527,1,"Fem_Egg_Sz_1~Gonad_Wt_g + bodysize_pc_g_mm + EnergyPDry_1 + Year"
"model3",4,180.050160369017,70.6336648676073,4.59298001478631e-16,3.92382384450045e-16,-85.7750801845086,1,"Fem_Egg_Sz_1~Gonad_Wt_g + EnergyPDry_1"
"model11",6,182.789247800662,73.3727522992521,1.167640841355e-16,9.9752599845233e-17,-84.8561623618695,1,"Fem_Egg_Sz_1~Gonad_Wt_g + EnergyPDry_1 + Year"
"model2",4,191.547475478196,82.1309799767862,1.46380862373189e-18,1.25054477988009e-18,-91.5237377390981,1,"Fem_Egg_Sz_1~Gonad_Wt_g + bodysize_pc_g_mm"
"model8",6,192.764140380426,83.3476448790158,7.96689098813146e-19,6.8061861199325e-19,-89.8436086517513,1,"Fem_Egg_Sz_1~Gonad_Wt_g + bodysize_pc_g_mm + Year"
"model1",2,196.423433129373,87.0069376279633,1.27844941990462e-19,1.09219075668957e-19,-96.1385458329793,1,"Fem_Egg_Sz_1~1"
"model5",5,200.053745815536,90.6372503141262,2.08147484556776e-20,1.77822254929769e-20,-94.647126072325,1,"Fem_Egg_Sz_1~Gonad_Wt_g + Year"
