"","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"(Intercept)",6.66777624153843,5.70183231329697,7.6337201697799,0.487934816082983,1
"Gonad_Wt_g",-3.86839674663172e-05,-0.000191297929065056,0.000113929994132421,7.66256688975609e-05,1
"bodysize_pc_g_mm",0.361342001467817,0.211530819292196,0.511153183643439,0.0755134151225097,0.98919326
"EnergyPDry_1",-0.219884684848546,-0.366821593779858,-0.0729477759172328,0.074218904633639,0.9984292
"Collection_LocationGulkana Hatchery",-0.569030011917946,-1.17432361612558,0.0362635922896875,0.306218976439708,1
"Collection_LocationLong Lake",-0.56671476874378,-1.40479358277829,0.271364045290728,0.426451869126723,1
"Collection_LocationMahlo",0.36841781214429,-0.0392676392494868,0.776103263538066,0.204599783392274,1
"Collection_LocationMentasta",-0.00135816040252958,-0.560018646919221,0.557302326114162,0.281373168059042,1
"Collection_LocationSt Anne",0.474828129269039,-0.208198390275999,1.15785464881408,0.345835873541729,1
"Collection_LocationTanada",-0.95548304283118,-2.08300685007104,0.17204076440868,0.573192285675067,1
"Year2020",-0.0044654887634992,-0.11136943797286,0.102438460445861,0.0536816367799101,0.13409132
"Year2021",-0.0195119603548465,-0.153952805430389,0.114928884720697,0.0680535563811326,0.13409132
"Collection_LocationGulkana Hatchery:EnergyPDry_1",-0.00327031958331347,-0.0794244456009385,0.0728838064343115,0.0386201826228771,0.01080452
"Collection_LocationLong Lake:EnergyPDry_1",-0.00681528599223063,-0.138064197243029,0.124433625258568,0.0669056200687319,0.01080452
"Collection_LocationMahlo:EnergyPDry_1",0.00122925058588835,-0.0421324621769119,0.0445909633486886,0.021850090656405,0.01080452
"Collection_LocationMentasta:EnergyPDry_1",-0.00180380340194902,-0.0713515127396083,0.0677439059357103,0.0350169205178354,0.01080452
"Collection_LocationSt Anne:EnergyPDry_1",-0.00398444795424228,-0.0930222450374336,0.085053349128949,0.0451975189852326,0.01080452
"Collection_LocationTanada:EnergyPDry_1",-0.00850794745928264,-0.179620189258533,0.162604294339968,0.0871082970058634,0.01080452
