"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model6",13,272.288312936914,0,1,0.7246050570914,-121.165895598892,0.7246050570914,"EnergyPDry_1~Collection_RiverMile_m + Group_Assignment + Year"
"model10",14,274.2236329479,1.93532001098538,0.379971128989039,0.275329001614186,-120.804124166257,0.999934058705586,"EnergyPDry_1~Collection_RiverMile_m + Group_Assignment + Sex + Year"
"model9",6,292.290191250793,20.0018783138792,4.5357312118851e-05,3.28661377373925e-05,-139.720853201154,0.999966924843323,"EnergyPDry_1~Collection_RiverMile_m + Sex + Year + Sex:Year"
"model4",4,292.919000450701,20.6306875137872,3.31209761122391e-05,2.39996267867319e-05,-142.26148042337,0.99999092447011,"EnergyPDry_1~Collection_RiverMile_m + Year"
"model7",5,294.95558337953,22.6672704426161,1.19636793199082e-05,8.66894253662525e-06,-142.177791689765,0.999999593412647,"EnergyPDry_1~Collection_RiverMile_m + Sex + Year"
"model2",12,302.457227202348,30.1689142654336,2.81127612773878e-07,2.03706489903985e-07,-137.551194246335,0.999999797119137,"EnergyPDry_1~Collection_RiverMile_m + Group_Assignment"
"model5",13,302.485129311272,30.1968163743583,2.77232817558038e-07,2.00884301594251e-07,-136.264303786071,0.999999998003438,"EnergyPDry_1~Collection_RiverMile_m + Group_Assignment + Sex"
"model3",4,311.802753337007,39.5144404000927,2.62753366671768e-09,1.90392418258154e-09,-151.703356866523,0.999999999907362,"EnergyPDry_1~Collection_RiverMile_m + Sex"
"model8",20,317.848707366878,45.5603944299638,1.27845678641964e-10,9.2637625271249e-11,-133.983177212851,1,"EnergyPDry_1~Collection_RiverMile_m + Group_Assignment + Sex + Group_Assignment:Sex"
"model1",2,353.566398410839,81.2780854739248,2.24227042904102e-18,1.62476049224963e-18,-174.724946778235,1,"EnergyPDry_1~1"
