"","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"(Intercept)",0.00921201776587492,0.00835014444509907,0.0100738910866508,0.000434364809251796,1
"Collection_RiverMile_m",-2.34729330871039e-08,-2.93662938814088e-08,-1.75795722927989e-08,2.96841733550158e-09,1
"Group_AssignmentChitina",0.0011811193115665,0.000198462125160153,0.00216377649797285,0.000495036185680993,0.9978756
"Group_AssignmentGulkana",0.00145747145530028,0.00012892897914645,0.00278601393145411,0.000669344814862542,0.9978756
"Group_AssignmentGulkanaHatchery",0.00198193302004644,0.0010862770887019,0.00287758895139097,0.000451379359718438,0.9978756
"Group_AssignmentKlutinaLake",0.00116997090268416,0.000336234537617838,0.00200370726775048,0.000420027735920244,0.9978756
"Group_AssignmentKlutinaTonsinaOutlet",0.000648312862956652,-0.000358632458468266,0.00165525818438157,0.00050721206858483,0.9978756
"Group_AssignmentSlana",0.00106881348463635,0.00012510353258177,0.00201252343669093,0.000475394386339494,0.9978756
"Group_AssignmentTanadaCopperLakes",0.0016745851608011,0.000706874077714776,0.00264229624388742,0.000487578244657914,0.9978756
"Group_AssignmentTazlina",0.00131496993478017,2.95039580758575e-07,0.00262964482997958,0.000662257646244888,0.9978756
"SexM",-0.00014410178927929,-0.000532365582808528,0.000244162004249948,0.000196899771472927,0.5006762
