"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model6",7,-1998.29708765513,0,1,0.73164993982327,1006.47602920768,0.73164993982327,"EnergyPDry_1_mJ_g ~ Collection_RiverMile_m + RunTimingGroup + Year"
"model10",8,-1996.26356735902,2.03352029611347,0.36176510895396,0.264685420196324,1006.55531309127,0.996335360019594,"EnergyPDry_1_mJ_g ~ Collection_RiverMile_m + RunTimingGroup + Sex + Year"
"model2",5,-1986.08886047393,12.2082271812012,0.00223366043040895,0.00163425751949433,998.21784064159,0.997969617539088,"EnergyPDry_1_mJ_g ~ Collection_RiverMile_m + RunTimingGroup"
"model4",5,-1984.59432823784,13.7027594172907,0.0010579949606529,0.000774081949295019,997.470574523545,0.998743699488383,"EnergyPDry_1_mJ_g ~ Collection_RiverMile_m + Year"
"model5",6,-1984.10716426555,14.1899233895867,0.000829272543752727,0.000606737206733774,998.297768179285,0.999350436695117,"EnergyPDry_1_mJ_g ~ Collection_RiverMile_m + RunTimingGroup + Sex"
"model7",6,-1982.66081851355,15.6362691415854,0.000402371578842263,0.000294395141446536,997.574595303285,0.999644831836564,"EnergyPDry_1_mJ_g ~ Collection_RiverMile_m + Sex + Year"
"model9",8,-1981.80570505326,16.4913826018767,0.000262386670407027,0.00019197519161373,999.326381938393,0.999836807028178,"EnergyPDry_1_mJ_g ~ Collection_RiverMile_m + Sex + Year + Sex:Year"
"model8",8,-1981.48082380087,16.8162638542631,0.000223046134411598,0.000163191690820058,999.163941312199,0.999999998718998,"EnergyPDry_1_mJ_g ~ Collection_RiverMile_m + RunTimingGroup + Sex + RunTimingGroup:Sex"
"model3",4,-1957.97074806366,40.3263395914687,1.75084064507924e-09,1.28100245261236e-09,983.100316560568,1,"EnergyPDry_1_mJ_g ~ Collection_RiverMile_m + Sex"
"model1",2,-1868.95750766668,129.33957998845,8.20856156274704e-29,6.00579357341949e-29,936.512844742432,1,"EnergyPDry_1_mJ_g ~ 1"
