"","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"(Intercept)",0.0110496229980684,0.0102152459233898,0.011884000072747,0.000422755229829609,1
"Collection_RiverMile_m",-2.32841732494408e-08,-2.98374984143675e-08,-1.67308480845141e-08,3.32049396234288e-09,1
"RunTimingGroupLate",-0.000799094524247869,-0.00117960921061631,-0.00041857983787943,0.000192816129584815,0.9987395464
"RunTimingGroupMiddle",-0.000170295291474209,-0.000491194020495613,0.000150603437547196,0.000162581390926496,0.9987395464
"Year2020",0.000126596439489797,-0.000290287923639859,0.000543480802619453,0.000211215367346765,0.9975958123
"Year2021",-0.000642794842771815,-0.00120609022526759,-7.94994602760446e-05,0.000285419976221723,0.9975958123
"SexM",-1.38670797061265e-05,-0.000157291289731941,0.000129557130319688,7.27141866911493e-05,0.2659417207
"SexM:Year2020",2.24462731339345e-08,-9.81848928867765e-06,9.86338183494552e-06,4.98933848195912e-06,0.0001919752
"SexM:Year2021",-9.11912256251596e-08,-1.5978722533735e-05,1.57963400824847e-05,8.08663516572802e-06,0.0001919752
"RunTimingGroupLate:SexM",7.14924690245994e-08,-1.38662613738401e-05,1.40092463118893e-05,7.09222001856221e-06,0.0001631917
"RunTimingGroupMiddle:SexM",2.8119002118743e-08,-9.55543687436716e-06,9.61167487860465e-06,4.86224560613267e-06,0.0001631917
