Candidate Models,ED~RunTimingGroup
1,ED~1
2,ED~CollectionLocation
3,ED~CollectionLocation + RunTimingGroup
4,ED~CollectionLocation + Sex
5,ED~CollectionLocation + Year
6,ED~CollectionLocation + RunTimingGroup + Sex
7,ED~CollectionLocation + RunTimingGroup + Year
8,ED~CollectionLocation + Sex + Year
9,ED~CollectionLocation + RunTimingGroup + Sex + RunTimingGroup*Sex
10,ED~CollectionLocation + RunTimingGroup + Year + RunTimingGroup*Year
11,ED~CollectionLocation + Sex + Year + Sex*Year
12,ED~CollectionLocation + RunTimingGroup + Sex + Year
