"","Avg_Coef","CI_Lower","CI_Upper"
"(Intercept)",26.3264924853424,25.6984923455739,26.9544926251109
"Collection_LocationCanyon Creek",-0.842983822787259,-1.96150844882381,0.275540803249292
"Collection_LocationChitina Airport",-1.8288199913369,-3.45100669840466,-0.206633284269154
"RunTimingGroupLate",-1.27388488494426,-2.46527356298475,-0.0824962069037578
"RunTimingGroupMiddle",-0.217799685829678,-1.25806002877175,0.822460657112398
"Year2020",0.0663933192963513,-0.780089830629572,0.912876469222275
"Year2021",NA,NA,NA
"RunTimingGroupLate:Year2020",NA,NA,NA
"RunTimingGroupMiddle:Year2020",1.34702,0.0547706330823503,2.63926936691765
"RunTimingGroupLate:Year2021",1.701085,0.408835633082351,2.99333436691765
"RunTimingGroupMiddle:Year2021",1.053125,-0.23912436691765,2.34537436691765
"SexM",-0.0323129747103034,-0.638532120108731,0.573906170688124
"RunTimingGroupLate:SexM",0.816042105194659,-0.261593059209403,1.89367726959872
"RunTimingGroupMiddle:SexM",0.364086666666668,-0.708184595679146,1.43635792901248
"SexM:Year2020",0.106928750000002,-1.00120868886892,1.21506618886892
"SexM:Year2021",-0.520468787541712,-1.62399881635825,0.583061241274823
