"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model9",8,655.227525404912,0,1,0.561627183979843,-319.272530474968,0.561627183979843,"EnergyPDry_1~ Gonad_Wt_g + Work + Year + Work:Year"
"model7",6,657.023138646716,1.79561324180406,0.407462399834966,0.228841960196981,-322.314386224766,0.790469144176824,"EnergyPDry_1~ Gonad_Wt_g + Sex + Year"
"model10",8,658.506523796691,3.27899839177985,0.194077212622964,0.108999038400092,-320.912029670858,0.899468182576916,"EnergyPDry_1~Gonad_Wt_g + Sex + Year + Sex:Year"
"model11",7,658.777616477358,3.55009107244666,0.169475732038976,0.0951821781379726,-322.124657295283,0.994650360714889,"EnergyPDry_1~ Gonad_Wt_g + Work + Sex + Year"
"model4",5,665.641372481946,10.4138470770347,0.00547850218921716,0.00307687575695744,-327.680499325085,0.997727236471847,"EnergyPDry_1~Gonad_Wt_g + Year"
"model6",6,667.306759572463,12.0792341675514,0.00238247102578419,0.00133806049312475,-327.45619668764,0.999065296964971,"EnergyPDry_1~ Gonad_Wt_g + Work + Year"
"model3",4,668.936357874501,13.7088324695898,0.0010547872039721,0.000592397167064824,-330.375155681437,0.999657694132036,"EnergyPDry_1~ Gonad_Wt_g + Sex"
"model5",5,670.978048505847,15.7505231009351,0.000380029547963727,0.000213434924852001,-330.348837337035,0.999871129056888,"EnergyPDry_1~ Gonad_Wt_g + Work + Sex"
"model8",6,672.637142663514,17.4096172586022,0.000165786684467213,9.31103087386759e-05,-330.121388233165,0.999964239365627,"EnergyPDry_1~ Gonad_Wt_g + Work + Sex + Work:Sex"
"model1",2,674.80730899744,19.5797835925285,5.60149579713628e-05,3.14595231062058e-05,-335.376004729135,0.999995698888733,"EnergyPDry_1~1"
"model2",4,678.786965628005,23.5594402230929,7.65830321197425e-06,4.30111126700489e-06,-335.300459558188,1,"EnergyPDry_1~ Gonad_Wt_g + Work"
