"","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"(Intercept)",0.00548906881286355,0.00511699491355732,0.00586114271216978,0.000188746056719453,1
"Gonad_Wt_g",-1.05901107669137e-08,-2.95290132364583e-07,2.74109910830756e-07,1.44419914760774e-07,1
"Collection_LocationGulkana Hatchery",-0.000918499623008019,-0.00135566566500913,-0.000481333581006905,0.000221756468125477,1
"Collection_LocationLong Lake",0.000392755103414134,-1.48036204402904e-05,0.000800313827268558,0.000206737880214838,1
"Collection_LocationMahlo",-0.00118755961118609,-0.00160544936893593,-0.000769669853436258,0.000211978681807361,1
"Collection_LocationMentasta",-0.0010801404675341,-0.00150216599278099,-0.000658114942287207,0.000214076390401428,1
"Collection_LocationSt Anne",-0.00125584697334777,-0.00168244106188741,-0.000829252884808128,0.000216393789941921,1
"Collection_LocationTanada",-4.84517621452918e-05,-0.000546533351809436,0.000449629827518852,0.000252656470761457,1
"SexM",-0.000406591496168474,-0.00064531263231028,-0.000167870360026668,0.000121141286719758,0.9939664
"Year2020",-3.88230471925922e-05,-0.000352595319331596,0.000274949224946412,0.000159163862354424,0.999967
"Year2021",0.000562548531617096,0.000294694463851747,0.000830402599382445,0.000135871864562445,0.999967
"Collection_LocationGulkana Hatchery:SexM",-5.42386150962507e-11,-5.37426996065478e-07,5.37318518835286e-07,2.7277390542228e-07,2.917088e-07
"Collection_LocationLong Lake:SexM",4.79130779919231e-11,-4.95904641596875e-07,4.96000467752859e-07,2.51731897850083e-07,2.917088e-07
"Collection_LocationMahlo:SexM",-1.36409857818609e-11,-4.81197912804779e-07,4.81170630833215e-07,2.44072706829667e-07,2.917088e-07
"Collection_LocationMentasta:SexM",-2.81701615878079e-11,-4.93584920571407e-07,4.93528580248231e-07,2.50396617906765e-07,2.917088e-07
"Collection_LocationSt Anne:SexM",-2.34692985001618e-11,-4.93211793377145e-07,4.93164854780144e-07,2.5019022198946e-07,2.917088e-07
"Collection_LocationTanada:SexM",-2.32741698599029e-10,-1.01482698274448e-06,1.01436149934728e-06,5.16723239596433e-07,2.917088e-07
"SexM:Year2020",4.90700449345066e-25,-4.40753952799546e-14,4.4075395280936e-14,2.23831782913267e-14,2.640805e-21
"SexM:Year2021",-9.73577101578199e-25,-5.05416939530422e-14,5.0541693951095e-14,2.57197223351676e-14,2.640805e-21
