"","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"(Intercept)",3676.77925662806,1733.85303186087,5619.70548139524,970.407074192286,1
"Collection_RiverMile_m",-0.00468157346497586,-0.0185964573712333,0.00923331044128153,0.00692797907744364,0.8866484
"bodysize_pc",243.787829796773,-99.8480158699917,587.423675463538,172.707575453064,0.7857386
"Year2021",-243.54159468127,-990.719012722664,503.635823360123,376.475396555838,0.4047266
"EnergyPDry_1",9.69466156809231,-121.09253721491,140.481860351094,65.0774176999651,0.11605
"Group_AssignmentChitina",-5.70820028233744,-433.884036810605,422.46763624593,210.092274537079,0.09255629
"Group_AssignmentGulkana",-47.0596127062325,-562.165364411049,468.046138998584,255.928101588675,0.09255629
"Group_AssignmentGulkanaHatchery",33.0497832304866,-392.927255304243,459.026821765217,210.903309722166,0.09255629
"Group_AssignmentKlutinaLake",-31.20054204741,-429.03739446381,366.63631036899,197.075091799898,0.09255629
"Group_AssignmentKlutinaTonsinaOutlet",39.9739720404068,-498.36380312991,578.311747210724,266.266147723901,0.09255629
"Group_AssignmentSlana",-74.5121182761626,-668.118153801468,519.093917249143,298.306787099372,0.09255629
"Group_AssignmentTanadaCopperLakes",-151.406300080785,-1153.80839575251,850.995795590944,508.746918610965,0.09255629
"Group_AssignmentTazlina",-91.2183826193817,-858.404875216485,675.968109977722,385.119413839957,0.09255629
"EnergyPDry_1:Group_AssignmentChitina",-1.42826871469146e-05,-0.374407732494583,0.374379167120289,0.184552553867345,1.600119e-08
"EnergyPDry_1:Group_AssignmentGulkana",3.52064773099075e-05,-0.62816379343243,0.62823420638705,0.316456529240497,1.600119e-08
"EnergyPDry_1:Group_AssignmentGulkanaHatchery",7.97921448020745e-06,-0.284382128135237,0.284398086564198,0.138948584664169,1.600119e-08
"EnergyPDry_1:Group_AssignmentKlutinaLake",1.87451733831213e-05,-0.373707348296769,0.373744838643535,0.186776584772102,1.600119e-08
"EnergyPDry_1:Group_AssignmentKlutinaTonsinaOutlet",1.32759400075503e-05,-0.327557366818215,0.32758391869823,0.161869154201627,1.600119e-08
"EnergyPDry_1:Group_AssignmentSlana",2.19494291408312e-05,-0.430564869938322,0.430608768796604,0.215421597608982,1.600119e-08
"EnergyPDry_1:Group_AssignmentTanadaCopperLakes",9.01921156009185e-06,-0.291300138093035,0.291318176516155,0.142655451486762,1.600119e-08
"EnergyPDry_1:Group_AssignmentTazlina",9.58782047003483e-06,-1.28026145936713,1.28028063500807,0.619364522735266,1.600119e-08
