"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model10",6,189.517379827005,0,1,0.356974349754961,-88.1318242418608,0.356974349754961,"Fecun_num_by_wt1~Collection_RiverMile_m + bodysize_pc + Year"
"model19",8,190.495226122551,0.977846295545731,0.613286457612997,0.218927534419923,-86.1399207535831,0.575901884174884,"Fecun_num_by_wt1~Collection_RiverMile_m + bodysize_pc + RunTimingGroup + Year"
"model18",7,191.452325016414,1.93494518940918,0.380042346351021,0.135665369468005,-87.8776776597223,0.711567253642889,"Fecun_num_by_wt1~Collection_RiverMile_m + bodysize_pc + EnergyPDry_1 + Year"
"model11",8,193.069358203734,3.55197837672841,0.169315881335202,0.060441426642822,-87.4269867941745,0.772008680285711,"Fecun_num_by_wt1~Collection_RiverMile_m + bodysize_pc*Year"
"model21",9,193.077727337411,3.56034751040627,0.168608848058579,0.0601890338986443,-86.1326136687057,0.832197714184355,"Fecun_num_by_wt1~Collection_RiverMile_m + bodysize_pc + EnergyPDry_1 + RunTimingGroup + Year"
"model2",4,193.262725781746,3.74534595474105,0.153712242856579,0.0548713279431039,-92.3415078184093,0.887069042127459,"Fecun_num_by_wt1~Collection_RiverMile_m + bodysize_pc"
"model8",6,194.411162620472,4.89378279346712,0.0865622564019478,0.0309005051924075,-90.5787156385943,0.917969547319867,"Fecun_num_by_wt1~Collection_RiverMile_m + bodysize_pc + RunTimingGroup"
"model6",5,195.525593164978,6.0082133379727,0.0495830286069116,0.0176998693958339,-92.3216201119007,0.935669416715701,"Fecun_num_by_wt1~Collection_RiverMile_m + bodysize_pc + EnergyPDry_1"
"model17",7,195.907777400801,6.39039757379587,0.040958382576952,0.0146210919874224,-90.1054038519157,0.950290508703123,"Fecun_num_by_wt1~Collection_RiverMile_m + bodysize_pc + EnergyPDry_1 + RunTimingGroup"
"model9",8,196.243173730936,6.72579390393136,0.0346347781823036,0.0123637274205351,-89.0138945577759,0.962654236123658,"Fecun_num_by_wt1~Collection_RiverMile_m + bodysize_pc*RunTimingGroup"
"model5",5,196.635408919718,7.11802909271285,0.0284668636708951,0.0101619401484809,-92.8765279892708,0.972816176272139,"Fecun_num_by_wt1~Collection_RiverMile_m + Year"
"model7",6,197.652597710395,8.13521788338954,0.0171182703951184,0.00611078344322697,-92.1994331835555,0.978926959715366,"Fecun_num_by_wt1~Collection_RiverMile_m + bodysize_pc*EnergyPDry_1"
"model3",4,198.154198990456,8.63681916345087,0.0133210527497642,0.00475527414339861,-94.7872444227642,0.983682233858765,"Fecun_num_by_wt1~Collection_RiverMile_m + EnergyPDry_1"
"model14",6,198.51957019973,9.0021903727249,0.0110968367765511,0.00396128609264627,-92.6329194282232,0.987643519951411,"Fecun_num_by_wt1~Collection_RiverMile_m + EnergyPDry_1 + Year"
"model16",7,198.701736767213,9.18435694020761,0.010130764748823,0.00361642315873158,-91.5023835351215,0.991259943110143,"Fecun_num_by_wt1~Collection_RiverMile_m + RunTimingGroup + Year"
"model12",6,198.780982214055,9.26360238704976,0.00973720470758806,0.00347593231892219,-92.7636254353856,0.994735875429065,"Fecun_num_by_wt1~Collection_RiverMile_m + EnergyPDry_1 + RunTimingGroup"
"model4",5,199.438886554978,9.92150672797291,0.00700764653493625,0.00250155006512147,-94.2782668069008,0.997237425494186,"Fecun_num_by_wt1~Collection_RiverMile_m + RunTimingGroup"
"model20",8,199.97926107242,10.4618812454153,0.00534849202277396,0.00190927446199933,-90.8819382285179,0.999146699956185,"Fecun_num_by_wt1~Collection_RiverMile_m +  EnergyPDry_1 + RunTimingGroup + Year"
"model13",8,202.746776066792,13.2293962397871,0.00134051941110963,0.000478531045114765,-92.2656957257038,0.9996252310013,"Fecun_num_by_wt1~Collection_RiverMile_m + EnergyPDry_1*RunTimingGroup"
"model15",8,203.242424400276,13.7250445732709,0.00104627160478872,0.000373492125786533,-92.5135198924457,0.999998723127087,"Fecun_num_by_wt1~Collection_RiverMile_m + EnergyPDry_1*Year"
"model1",2,214.599390139898,25.0820103128933,3.5769318274677e-06,1.27687291322811e-06,-105.215188027696,1,"Fecun_num_by_wt1~1"
