"","Avg_Coef","CI_Lower","CI_Upper","SE"
"(Intercept)",6.25868014191884,-23.8151036945869,36.3324639784246,15.1634428678145
"Collection_RiverMile_m",-0.000118611721461714,-0.000212943856255727,-2.42795866677018e-05,4.74058848816304e-05
"EnergyPDry_1",2.94575952969784,0.555786622816446,5.33573243657923,1.20109772430848
"RunTimingGroupLate",5.52727941927435,-6.9171711705753,17.971730009124,6.2386789793282
"RunTimingGroupMiddle",0.6685862022236,-13.114930049187,14.4521024536342,6.92985852509485
"Year2020",4.33119098607705,-8.33161076897114,16.9939927411253,6.35973135508991
"Year2021",1.75662414880742,-10.7737552859553,14.2870035835702,6.28280600109531
"bodysize_pc",0.142244314506795,-4.9352048830773,5.21969351209089,2.54719963604061
"EnergyPDry_1:RunTimingGroupLate",-0.509608386813689,-5.02668430971963,4.00746753609225,2.26305461788097
"EnergyPDry_1:RunTimingGroupMiddle",1.26940947896333,-3.25247370532389,5.79129266325054,2.26546305538654
"bodysize_pc:EnergyPDry_1",0.134505385500909,-1.5683146506727,1.83732542167452,0.853567232104981
"EnergyPDry_1:Year2020",1.49825079643015,-4.63141099989754,7.62791259275783,3.07095999070653
"EnergyPDry_1:Year2021",0.43308984661799,-4.30846440973867,5.17464410297465,2.37551824209277
"bodysize_pc:Year2020",-1.23140368692571,-7.96721232381638,5.50440494996497,3.37463950153653
"bodysize_pc:Year2021",0.734856245395225,-2.84118198345904,4.3108944742495,1.79159482055402
"bodysize_pc:RunTimingGroupLate",-1.49929901817266,-6.43572251160994,3.43712447526462,2.47314771177291
"bodysize_pc:RunTimingGroupMiddle",-1.68424173553566,-6.17237496208565,2.80389149101434,2.24855432969451
