"","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"(Intercept)",3611.00922242467,1580.13135374742,5641.88709110191,1019.93181973415,1
"Collection_RiverMile_m",-0.00990340766268029,-0.0216461302401174,0.00183931491475687,0.00589821983554891,0.9999993039
"bodysize_pc",282.596917944931,90.1837735107783,475.010062379085,96.7553869531792,0.9831753874
"Year2020",729.739521258252,-128.581494063676,1588.06053658018,433.015207380879,0.8934375153
"Year2021",134.996084058898,-742.915838100502,1012.9080062183,440.827614278184,0.8934375153
"RunTimingGroupLate",159.902143896296,-363.245689509562,683.049977302153,265.017201952797,0.3756698911
"RunTimingGroupMiddle",-10.117614157907,-310.111976983633,289.876748667819,150.352144513191,0.3756698911
"EnergyPDry_1",-9.13915261192235,-142.275773716559,123.997468492714,67.0042573673371,0.2578156945
"EnergyPDry_1:RunTimingGroupLate",-0.0335186208302095,-8.82515470245583,8.75811746079541,4.42206665796235,0.0002608785
"EnergyPDry_1:RunTimingGroupMiddle",0.0158936611951647,-8.02162270443092,8.05341002682125,4.03109468012014,0.0002608785
