"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model9",10,1288.739483762,0,1,0.245133406927816,-632.536408547667,0.245133406927816,"Fecun_num_by_wt1~Gonad_Wt_g + EnergyPDry_1 + Collection_Location"
"model4",9,1288.83680872642,0.0973249644150656,0.952502562012941,0.233490198133705,-633.942994527142,0.478623605061521,"Fecun_num_by_wt1~Gonad_Wt_g + Collection_Location"
"model10",16,1289.36060531239,0.621121550390853,0.733035772665623,0.179691556353488,-623.643265619158,0.658315161415009,"Fecun_num_by_wt1~Gonad_Wt_g + EnergyPDry_1*Collection_Location"
"model12",11,1291.2075348421,2.46805108010108,0.291118307324855,0.0713628224936007,-632.366479285457,0.72967798390861,"Fecun_num_by_wt1~Gonad_Wt_g + Collection_Location + Year"
"model13",11,1291.35482900591,2.61534524390822,0.270448760993117,0.0662960261816494,-632.440126367361,0.795974010090259,"Fecun_num_by_wt1~Gonad_Wt_g + bodysize_pc_g_mm + EnergyPDry_1 + Collection_Location"
"model7",10,1291.55033552756,2.81085176556417,0.245262581096999,0.0601220520962172,-633.941834430449,0.856096062186476,"Fecun_num_by_wt1~Gonad_Wt_g + bodysize_pc_g_mm + Collection_Location"
"model16",12,1291.842219977,3.1027362150005,0.211957794325475,0.0519579362479088,-631.231454816086,0.908053998434385,"Fecun_num_by_wt1~Gonad_Wt_g +  EnergyPDry_1 + Collection_Location + Year"
"model15",12,1293.77134670211,5.03186294010675,0.0807876258944706,0.0198037459731214,-632.19601817864,0.927857744407507,"Fecun_num_by_wt1~Gonad_Wt_g + bodysize_pc_g_mm + Collection_Location + Year"
"model17",13,1294.23953156037,5.50004779837263,0.0639263334010985,0.0156704798990147,-630.926783324046,0.943528224306522,"Fecun_num_by_wt1~Gonad_Wt_g + bodysize_pc_g_mm + EnergyPDry_1 + Collection_Location + Year"
"model3",4,1294.39596967337,5.65648591137119,0.0591166330142193,0.014491461656877,-642.894954533655,0.958019685963398,"Fecun_num_by_wt1~Gonad_Wt_g + EnergyPDry_1"
"model5",5,1294.76706891915,6.02758515714731,0.0491050902451902,0.0120372980693013,-641.921995998035,0.9700569840327,"Fecun_num_by_wt1~Gonad_Wt_g + Year"
"model11",6,1295.64495420884,6.9054704468374,0.0316589236134588,0.00776065980503463,-641.166227104419,0.977817643837734,"Fecun_num_by_wt1~Gonad_Wt_g + EnergyPDry_1 + Year"
"model8",6,1295.86975782511,7.1302740631113,0.028293108169909,0.00693558599826701,-641.278628912556,0.984753229836001,"Fecun_num_by_wt1~Gonad_Wt_g + bodysize_pc_g_mm + Year"
"model2",4,1296.10873376659,7.36925000459155,0.025106587871162,0.00615446342119051,-643.751336580266,0.990907693257192,"Fecun_num_by_wt1~Gonad_Wt_g + bodysize_pc_g_mm"
"model6",5,1296.56355385836,7.82407009635563,0.0199997591464569,0.00490260909730673,-642.820238467639,0.995810302354499,"Fecun_num_by_wt1~Gonad_Wt_g + bodysize_pc_g_mm + EnergyPDry_1"
"model14",7,1296.87783178214,8.13834802013821,0.0170915000856464,0.00418969764550155,-640.55002700218,1,"Fecun_num_by_wt1~Gonad_Wt_g + bodysize_pc_g_mm + EnergyPDry_1 + Year"
"model1",2,1482.06823864724,193.328754885242,1.04518767555986e-42,2.56210415788952e-43,-738.945884029503,1,"Fecun_num_by_wt1~1"
