"","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"(Intercept)",-1455.31774467465,-5715.13365561945,2804.49816627016,2146.4510410079,1
"Gonad_Wt_g",11.4777505550919,10.7297803826657,12.2257207275181,0.37424953461943,1
"EnergyPDry_1",281.813037912664,-446.634143982388,1010.26021980772,367.317523564304,0.5900938
"Collection_LocationGulkana Hatchery",822.996201740571,-5676.46248169103,7322.45488517217,3281.83158830822,0.9435282
"Collection_LocationLong Lake",371.579745323147,-3326.84606700382,4070.00555765012,1855.35953500568,0.9435282
"Collection_LocationMahlo",-201.907460254644,-5264.19912025087,4860.38419974158,2543.58625694171,0.9435282
"Collection_LocationMentasta",-1850.40884168956,-22232.2902299074,18531.4725465283,10373.1729405205,0.9435282
"Collection_LocationSt Anne",-340.277222142815,-13998.6255589491,13318.0711146634,6823.93121550653,0.9435282
"Collection_LocationTanada",-1213.32925168182,-8737.58906429325,6310.93056092962,3774.61824097796,0.9435282
"Collection_LocationGulkana Hatchery:EnergyPDry_1",-208.543195807783,-1397.16460607201,980.078214456443,600.457183048655,0.1796916
"Collection_LocationLong Lake:EnergyPDry_1",-72.0926965666902,-673.04010433328,528.854711199899,301.673063235832,0.1796916
"Collection_LocationMahlo:EnergyPDry_1",-118.758690952916,-1013.57087337087,776.053491465033,449.752009677194,0.1796916
"Collection_LocationMentasta:EnergyPDry_1",872.430832651527,-2993.63804316799,4738.49970847105,1968.0063331996,0.1796916
"Collection_LocationSt Anne:EnergyPDry_1",-110.223968667808,-2616.31277509581,2395.86483776019,1251.96436802565,0.1796916
"Collection_LocationTanada:EnergyPDry_1",129.655241317081,-1067.0478346956,1326.35831732976,600.122527938752,0.1796916
"Year2020",130.625016832208,-782.067719015115,1043.31775267953,459.932360221931,0.1897182
"Year2021",193.644128347898,-769.125830522323,1156.41408721812,488.104044205622,0.1897182
"bodysize_pc_g_mm",-23.623203190437,-351.303085608849,304.056679227975,164.407425193229,0.1840747
