"","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"(Intercept)",5.87169896130887,5.5681641126744,6.17523380994333,0.152996799711624,1
"Collection_RiverMile_m",1.41451948493762e-05,8.795619514512e-06,1.94947701842404e-05,2.69638992289452e-06,1
"juliandate",0.00711959749738985,-0.00102187519721658,0.0152610701919963,0.00410359803291396,1
"SexM",-0.138908374134232,-0.357546774100525,0.07973002583206,0.110206525312901,0.99866114
"Group_AssignmentChitina",0.00136742127911212,-0.0557565533267932,0.0584913958850175,0.0289812629672049,0.00386804
"Group_AssignmentGulkana",-0.000603062670240641,-0.0547617403352304,0.0535556149947492,0.0273195134361437,0.00386804
"Group_AssignmentGulkanaHatchery",0.00131716608493779,-0.0517180206713696,0.0543523528412452,0.0269222939029884,0.00386804
"Group_AssignmentKlutinaLake",0.000759738605463049,-0.0404745495762036,0.0419940267871297,0.0208556440190128,0.00386804
"Group_AssignmentKlutinaTonsinaOutlet",0.000240003896317103,-0.0384096099373381,0.0388896177299723,0.0194716382457406,0.00386804
"Group_AssignmentSlana",0.000121480352187169,-0.0383823900249076,0.0386253507292819,0.0193904589063115,0.00386804
"Group_AssignmentTanadaCopperLakes",0.000239465536195532,-0.0376128368035237,0.0380917678759148,0.0190699514433649,0.00386804
"Group_AssignmentTazlina",-0.000461126171672044,-0.0521024912340036,0.0511802388906595,0.0260309311579093,0.00386804
