"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model8",8,68.240918288849,0,1,0.353260625043931,-25.6969297326598,0.353260625043931,"fineness_1~Collection_RiverMile_m + RunTimingGroup + Sex + RunTimingGroup:Sex"
"model2",5,68.6872992647075,0.446380975858474,0.799962451589183,0.28259523566007,-29.1702392277294,0.635855860704002,"fineness_1~Collection_RiverMile_m + RunTimingGroup"
"model5",6,69.70571895044,1.46480066159097,0.480753636271066,0.16983133004126,-28.6086734287084,0.805687190745261,"fineness_1~Collection_RiverMile_m + RunTimingGroup + Sex"
"model6",7,70.3603672981613,2.11944900931236,0.346551270441447,0.122422918405914,-27.8526982689637,0.928110109151175,"fineness_1~Collection_RiverMile_m + RunTimingGroup + year"
"model10",8,71.4251357606625,3.18421747181355,0.203496039560755,0.071887138129197,-27.2890384685666,0.999997247280372,"fineness_1~Collection_RiverMile_m + RunTimingGroup + Sex + Year"
"model4",5,93.4671827933704,25.2262645045214,3.32802257305068e-06,1.1756593343162e-06,-41.5601809920609,0.999998422939707,"fineness_1~Collection_RiverMile_m + Year"
"model3",4,94.0166069094601,25.7756886206111,2.52860115749996e-06,8.93255225385244e-07,-42.8933609259944,0.999999316194932,"fineness_1~Collection_RiverMile_m + Sex"
"model7",6,94.7927222532503,26.5518039644013,1.71533530694929e-06,6.05960422692832e-07,-41.1521750801135,0.999999922155355,"fineness_1~Collection_RiverMile_m + Sex + Year"
"model9",8,98.8969213833112,30.6560030944622,2.20360378382857e-07,7.78446450024454e-08,-41.0249312798909,1,"fineness_1~Collection_RiverMile_m + Sex + Year + Sex:Year"
"model1",2,141.476688909985,73.235770621136,1.25041585168584e-16,4.41722685331379e-17,-68.7042535459016,1,"fineness_1~1"
