"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model6",7,268.854250141817,0,1,0.697787889703176,-127.099639690792,0.697787889703176,"fineness~Collection_RiverMile_m + RunTimingGroup + Year"
"model10",8,270.674561319669,1.82031117785203,0.402461600593806,0.280832830964914,-126.91375124807,0.978620720668091,"fineness~Collection_RiverMile_m + RunTimingGroup + Sex + Year"
"model4",5,277.411636913481,8.55738677166397,0.0138607609264102,0.00967187111651998,-133.532408052116,0.988292591784611,"fineness~Collection_RiverMile_m + Year"
"model9",8,277.867879279129,9.0136291373118,0.0110335508754229,0.00769907818129401,-130.5104102278,0.995991669965905,"fineness~Collection_RiverMile_m + Sex + Year + Sex:Year"
"model7",6,279.173331080628,10.3190809388103,0.0057443387786517,0.00400833003409549,-133.342479493802,1,"fineness~Collection_RiverMile_m + Sex + Year"
"model2",5,353.620600385121,84.7663502433035,3.91941201051916e-19,2.73491823569745e-19,-171.636889787936,1,"fineness~Collection_RiverMile_m + RunTimingGroup"
"model5",6,355.531260942039,86.6770108002223,1.5077392851023e-19,1.05208221397411e-19,-171.521444424508,1,"fineness~Collection_RiverMile_m + RunTimingGroup + Sex"
"model8",8,358.930898966172,90.0766488243547,2.75488981625026e-20,1.92232875124604e-20,-171.041920071321,1,"fineness~Collection_RiverMile_m + RunTimingGroup + Sex + RunTimingGroup:Sex"
"model3",4,361.636108324804,92.7818581829865,7.12320568946375e-21,4.97048666597257e-21,-176.703111633666,1,"fineness~Collection_RiverMile_m + Sex"
"model1",2,405.583785939319,136.729535797502,2.03966359749707e-30,1.42325255740187e-30,-200.757802060569,1,"fineness~1"
