"","Avg_Coef","CI_Lower","CI_Upper","SE"
"(Intercept)",5.47673765585092,5.00857874632582,5.94489656537602,0.237194971908642
"Collection_RiverMile_m",1.12399796179467e-05,7.55825494177876e-06,1.49217042941146e-05,1.86550233303693e-06
"RunTimingGroupLate",0.293339676223756,0.0816559786229991,0.505023373824513,0.107247091795767
"RunTimingGroupMiddle",0.298661500478729,0.118146950341741,0.479176050615717,0.0914555904540623
"Year2020",0.950684889451189,0.710449075581999,1.19092070332038,0.121751313080072
"Year2021",0.204144318405821,-0.114194422567633,0.522483059379274,0.161309250272647
"SexM",0.051036809995104,-0.11785677774632,0.219930397736528,0.0856799359071763
"SexM:Year2020",-0.438755457421863,-0.809254499835847,-0.0682564150078788,0.187703541399895
"SexM:Year2021",-0.25902465116606,-0.627983233928975,0.109933931596855,0.186923108257598
"RunTimingGroupLate:SexM",0.226369695499961,-0.238520982001104,0.691260373001026,0.235524566979158
"RunTimingGroupMiddle:SexM",0.108874950986792,-0.353714248601885,0.571464150575469,0.234358584061108
