"","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"(Intercept)",5.48169536990012,5.00922672266866,5.95416401713159,0.239488704330563,1
"Collection_RiverMile_m",1.2210308994543e-05,8.63417514922126e-06,1.57864428398648e-05,1.81254742435002e-06,1
"RunTimingGroupLate",0.134624057831691,-0.122954915511118,0.3922030311745,0.131010723691896,0.65425
"RunTimingGroupMiddle",0.163311015492591,-0.111705036374535,0.438327067359716,0.140038119351081,0.65425
"Year2020",0.969559854861593,0.616235114173461,1.32288459554973,0.179646613615013,1
"Year2021",0.230296269885249,-0.143883223487673,0.604475763258172,0.189945829379285,1
"SexM",0.109660917794446,-0.21643435716295,0.435756192751841,0.166133084236469,0.515721
"SexM:Year2020",-0.130500824745982,-0.60858972367216,0.347588074180196,0.243678567970254,0.250895
"SexM:Year2021",-0.0854072429678184,-0.426910986399643,0.256096500464006,0.173894190818096,0.250895
"RunTimingGroupLate:SexM",7.95265920603718e-20,-3.81318672102804e-10,3.81318672261857e-10,1.93739278843115e-10,4.13539e-19
"RunTimingGroupMiddle:SexM",4.84710048011968e-20,-3.28059520466927e-10,3.28059520563869e-10,1.66442175089771e-10,4.13539e-19
