"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model6",11,689.848580575574,0,1,0.539213294808966,-333.292711340418,0.539213294808966,"fineness~ Gonad_Wt_g + Collection_Location + Year"
"model10",12,690.162951273406,0.314370697832032,0.854545655027308,0.460782378211961,-332.331475636703,0.999995673020927,"fineness~ Gonad_Wt_g + Collection_Location + Sex + Year"
"model4",5,714.848485110065,24.999904534491,3.72683105974523e-06,2.00955685492162e-06,-352.284707671311,0.999997682577782,"fineness~ Gonad_Wt_g + Year"
"model9",8,715.897609329484,26.04902875391,2.20559250159438e-06,1.18928479979065e-06,-349.609182023232,0.999998871862581,"fineness~Gonad_Wt_g + Sex + Year + Sex:Year"
"model7",6,716.003177623926,26.1545970483528,2.0921914007835e-06,1.12813741858746e-06,-351.80532712972,1,"fineness~ Gonad_Wt_g + Sex + Year"
"model2",9,807.503936943674,117.6553563681,2.82789956751496e-26,1.52484104318859e-26,-394.325428187477,1,"fineness~ Gonad_Wt_g + Collection_Location"
"model5",10,808.777336501202,118.928755925628,1.4960592060878e-26,8.06695013743887e-27,-393.864858726791,1,"fineness~ Gonad_Wt_g + Collection_Location + Sex"
"model1",2,813.707012796336,123.858432220762,1.27198847005932e-27,6.85873093899699e-28,-404.825983462388,1,"fineness~ 1"
"model8",16,815.289697086875,125.441116511301,5.76511065713352e-28,3.10862431237125e-28,-390.311515210104,1,"fineness~ Gonad_Wt_g + Collection_Location + Sex + Collection_Location:Sex"
"model3",4,816.447050264975,126.598469689401,3.23215067441966e-28,1.74281861447285e-28,-404.130932539895,1,"fineness~ Gonad_Wt_g + Sex"
