"","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"(Intercept)",7.52423554632764,7.03555620984207,8.01291488281322,0.247965927846679,1
"Gonad_Wt_g",7.02125130274565e-05,-0.000305306294168248,0.000445731320223161,0.00019051984498787,1
"Collection_LocationGulkana Hatchery",0.771956528253942,0.192823183546802,1.35108987296108,0.293783278300288,0.999996
"Collection_LocationLong Lake",-0.0445522623674898,-0.584447140096742,0.495342615361763,0.273878202190969,0.999996
"Collection_LocationMahlo",0.742390629460584,0.188930128453962,1.29585113046721,0.28076224114395,0.999996
"Collection_LocationMentasta",1.11827493649665,0.559230305757875,1.67731956723543,0.283593403297908,0.999996
"Collection_LocationSt Anne",1.14078040641459,0.579998775317068,1.7015620375121,0.284474414594148,0.999996
"Collection_LocationTanada",1.00028918255065,0.340473501476014,1.66010486362528,0.334712032800836,0.999996
"Year2020",1.64114519932479,1.22717129928279,2.05511909936678,0.210001004571688,1
"Year2021",-0.757931548588657,-1.1105409841953,-0.405322112982011,0.178871936420982,1
"SexM",-0.0967008079513539,-0.3882821798009,0.194880563898192,0.148335900719952,0.460785
"SexM:Year2020",-4.5003842626475e-07,-0.00125187159497527,0.00125097151812274,0.000636392124140732,1.18928e-06
"SexM:Year2021",5.22058723834446e-07,-0.0012453159488127,0.00124636006626036,0.000634089951004449,1.18928e-06
"Collection_LocationGulkana Hatchery:SexM",-1.71851315390523e-28,-3.28965324393508e-14,3.28965324393505e-14,1.67189658522481e-14,3.10862e-28
"Collection_LocationLong Lake:SexM",1.37934371305201e-28,-2.92228463853512e-14,2.92228463853515e-14,1.4846462536419e-14,3.10862e-28
"Collection_LocationMahlo:SexM",1.27540036578965e-28,-2.92945613080217e-14,2.9294561308022e-14,1.4879284265406e-14,3.10862e-28
"Collection_LocationMentasta:SexM",5.28473141816106e-30,-2.5867969073868e-14,2.5867969073868e-14,1.31206877079484e-14,3.10862e-28
"Collection_LocationSt Anne:SexM",-8.13463957000172e-29,-2.74065733057799e-14,2.74065733057798e-14,1.39100192307855e-14,3.10862e-28
"Collection_LocationTanada:SexM",4.43455668613827e-28,-5.77648948020079e-14,5.77648948020087e-14,2.94254802186293e-14,3.10862e-28
