"","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"(Intercept)",-69.5101359512183,-175.007318125424,35.987046222988,53.4112102305802,1
"Collection_RiverMile_m",0.00109824822267432,0.000395849014529557,0.00180064743081908,0.000354213452516994,0.9990083
"SexM",55.5217977956524,1.79900001754659,109.244595573758,27.1914025885793,0.9281743
"Group_AssignmentChitina",15.0890647245986,-72.2367611148392,102.414890564036,44.0407692759029,0.513158
"Group_AssignmentGulkana",-35.1281842969194,-165.671332900684,95.4149643068454,65.9776479214271,0.513158
"Group_AssignmentGulkanaHatchery",-27.8977847679441,-119.146279519472,63.3507099835842,46.1599450804398,0.513158
"Group_AssignmentKlutinaLake",-63.0540900055829,-202.169948609147,76.0617685979807,70.7483308016198,0.513158
"Group_AssignmentKlutinaTonsinaOutlet",-40.0304194307351,-154.192788521894,74.1319496604239,57.8316064835711,0.513158
"Group_AssignmentSlana",-38.5809835281384,-147.77341086697,70.6114438106935,55.3185649242529,0.513158
"Group_AssignmentTanadaCopperLakes",-37.2910372854021,-144.837770687727,70.2556961169223,54.4728541257064,0.513158
"Group_AssignmentTazlina",1.07682277824716,-109.387992262084,111.541637818579,55.6298241014612,0.513158
