"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model6",6,1421.95649381598,0,1,0.292473973129815,-704.566482202107,0.292473973129815,"sizecorrected_bodymass_residuals ~ Collection_RiverMile_m + RunTimingGroup"
"model4",5,1422.33029429981,0.373800483829655,0.829526484231619,0.242614906659628,-705.873885013982,0.535088879789443,"sizecorrected_bodymass_residuals ~ Collection_RiverMile_m + RunTimingGroup + Sex + RunTimingGroup:Sex"
"model9",8,1422.44624440701,0.489750591027359,0.782802151095504,0.228949255305468,-702.503122203503,0.764038135094911,"sizecorrected_bodymass_residuals ~ Collection_RiverMile_m + RunTimingGroup + Sex"
"model10",7,1423.52194596489,1.56545214890957,0.457158064159143,0.13370683537296,-704.2065175369,0.897744970467871,"sizecorrected_bodymass_residuals ~ Collection_RiverMile_m + RunTimingGroup + Year"
"model7",6,1424.05830521532,2.10181139933729,0.349620954089967,0.102255029532129,-705.617387901776,1,"sizecorrected_bodymass_residuals ~ Collection_RiverMile_m + Sex"
"model2",5,2334.85358002034,912.897086204358,5.8467760316941e-199,1.71002981598975e-199,-1162.25337960554,1,"sizecorrected_bodymass_residuals ~ Collection_RiverMile_m + Year"
"model8",8,2334.8676035426,912.911109726617,5.80592322721232e-199,1.69808143394946e-199,-1159.01027235953,1,"sizecorrected_bodymass_residuals ~ Collection_RiverMile_m + Sex + Year + Sex:Year"
"model5",6,2336.81662724351,914.860133427534,2.19101913065654e-199,6.40816070346552e-200,-1162.16412757525,1,"sizecorrected_bodymass_residuals ~ Collection_RiverMile_m + RunTimingGroup + Sex + Year"
"model3",4,2337.38224097403,915.425747158051,1.6512951621982e-199,4.82960856898149e-200,-1164.57617795828,1,"sizecorrected_bodymass_residuals ~ Collection_RiverMile_m + Sex + Year"
"model1",2,2398.0174820843,976.060988268326,1.12473289474728e-212,3.28955098436534e-213,-1196.97465013306,1,"sizecorrected_bodymass_residuals ~ 1"
