"","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"(Intercept)",-53.7164749198367,-124.754385790255,17.3214359505819,36.012820026785,1
"Collection_RiverMile_m",-0.000242965033874721,-0.000835546435842524,0.000349616368093082,0.000300256128141278,0.9998668506
"RunTimingGroupLate",111.584034730834,47.2557410913816,175.912328370286,32.6450328851082,0.9970192243
"RunTimingGroupMiddle",53.7519313869638,-6.77715963195789,114.281022405886,30.7172290938194,0.9970192243
"SexM",68.8294059617761,4.25561446334328,133.403197460209,32.8214193970681,0.97640468
"RunTimingGroupLate:SexM",-17.6716919941849,-92.8442954680274,57.5009114796576,38.2387661946275,0.2698768913
"RunTimingGroupMiddle:SexM",-18.1628028583493,-94.3859177028176,58.0603119861191,38.7774744381141,0.2698768913
"Year2020",-0.00849196268695353,-17.2511940237688,17.2342100983949,8.73614082347689,0.0779812188
"Year2021",0.642717397181016,-23.1020957503909,24.387530544753,12.0343717188835,0.0779812188
"SexM:Year2020",0.0224443244694246,-2.95469579992299,2.99958444886184,1.51496100546721,0.0003488707
"SexM:Year2021",0.0224704221239098,-2.95666587374097,3.00160671798879,1.51598340332195,0.0003488707
