"","Avg_Coef","CI_Lower","CI_Upper","SE"
"(Intercept)",251.991132002984,146.02607314689,357.956190859079,53.7498372025671
"Collection_RiverMile_m",-0.00259605358436312,-0.00348067130661278,-0.00171143586211345,0.000448775990183841
"RunTimingGroupLate",-45.4689031626427,-143.459812548164,52.5220062228788,49.8073207842016
"RunTimingGroupMiddle",-22.5551977937929,-90.1744267287145,45.0640311411286,34.2606165791171
"SexM",26.860312671547,-72.6513828798982,126.372008222992,50.5997752233285
"RunTimingGroupLate:SexM",-132.092910195802,-248.073548567064,-16.1122718245391,58.7585231375077
"RunTimingGroupMiddle:SexM",-11.8321223806679,-127.238589467381,103.574344706045,58.4676344410676
"Year2020",26.9574747724697,-69.3596774833051,123.274627028244,48.920499940652
"Year2021",-7.08718835099834,-136.624725066783,122.450348364787,65.8216752838323
"SexM:Year2020",105.374481769933,-11.7319547647495,222.480918304616,59.3288790034733
"SexM:Year2021",130.507126100801,13.8875943073204,247.126657894281,59.0822015933171
