"","Parameter","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"1","(Intercept)",0.251991132002985,0.14602607314689,0.35795619085908,0.0537498372025671,1
"2","Collection_RiverMile_m",-2.59605358436313e-06,-3.48067130661279e-06,-1.71143586211346e-06,4.48775990183841e-07,0.721453716065013
"3","RunTimingGroupLate",-0.0454689031626419,-0.143459812548164,0.0525220062228798,0.0498073207842018,0.454345298554523
"4","RunTimingGroupMiddle",-0.0225551977937926,-0.0901744267287143,0.0450640311411291,0.0342606165791171,0.454345298554523
"5","SexM",0.026860312671547,-0.0726513828798978,0.126372008222992,0.0505997752233283,0.285960379429906
"6","Year2020",0.0269574747724693,-0.0693596774833046,0.123274627028243,0.0489204999406516,0.227402679875447
"7","Year2021",-0.00708718835099932,-0.136624725066783,0.122450348364784,0.0658216752838316,0.227402679875447
"8","RunTimingGroupLate:SexM",-0.132092910195802,-0.248073548567064,-0.0161122718245392,0.0587585231375077,0.0343993079262178
"9","RunTimingGroupMiddle:SexM",-0.0118321223806682,-0.127238589467381,0.103574344706045,0.0584676344410675,0.0343993079262178
"10","SexM:Year2020",0.105374481769933,-0.0117319547647497,0.222480918304615,0.0593288790034733,0.0237793534954947
"11","SexM:Year2021",0.1305071261008,0.0138875943073199,0.247126657894281,0.0590822015933171,0.0237793534954947
