"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model9",8,2910.86345679286,0,1,0.50071330929798,-1447.09210575492,0.50071330929798,"sizecorrected_bodymass_residuals~ Gonad_Wt_g + Work + Year + Work:Year"
"model6",6,2912.3571019141,1.49364512124612,0.473869855888558,0.237272943718517,-1449.98228927481,0.737986253016496,"sizecorrected_bodymass_residuals~ Gonad_Wt_g + Work + Year"
"model11",7,2914.05449086474,3.19103407188368,0.202803644617108,0.101546484033924,-1449.76433463425,0.83953273705042,"sizecorrected_bodymass_residuals~ Gonad_Wt_g + Work + Sex + Year"
"model2",4,2915.47746238433,4.61400559146978,0.099559204095438,0.0498506185536997,-1453.64613859957,0.88938335560412,"sizecorrected_bodymass_residuals~ Gonad_Wt_g + Work"
"model4",5,2915.65367124879,4.79021445593116,0.0911629031858459,0.0456464789393962,-1452.68730074067,0.935029834543516,"sizecorrected_bodymass_residuals~ Gonad_Wt_g + Year"
"model5",5,2917.15613973072,6.29268293786299,0.0430091898392278,0.0215352737746248,-1453.43853498164,0.956565108318141,"sizecorrected_bodymass_residuals~ Gonad_Wt_g + Work + Sex"
"model7",6,2917.41409051338,6.55063372052746,0.0378048884643821,0.0189294108106418,-1452.51078357445,0.975494519128783,"sizecorrected_bodymass_residuals~ Gonad_Wt_g + Sex + Year"
"model1",2,2918.27327934904,7.40982255618474,0.0246024000426754,0.0123187491420408,-1457.10911673874,0.987813268270823,"sizecorrected_bodymass_residuals~1"
"model8",6,2919.237679958,8.37422316514085,0.0151900969095324,0.00760588369212897,-1453.42257829676,0.995419151962952,"sizecorrected_bodymass_residuals~ Gonad_Wt_g + Work + Sex + Work:Sex"
"model3",4,2921.62218084846,10.758724055604,0.00461076253018819,0.00230867016487765,-1456.71849783164,0.99772782212783,"sizecorrected_bodymass_residuals~ Gonad_Wt_g + Sex"
"model10",8,2921.65404662038,10.7905898275258,0.00453788191761029,0.00227217787217011,-1452.48740066868,1,"sizecorrected_bodymass_residuals~Gonad_Wt_g + Sex + Year + Sex:Year"
