"","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"(Intercept)",10.2167448289843,-96.7241038920254,117.157593549994,54.3792072958319,1
"Gonad_Wt_g",-0.0164801648391217,-0.0726640539131169,0.0397037242348735,0.0285062744670454,0.988362806
"Work",0.10503437551485,-0.195243663213763,0.405312414243462,0.152651901693474,0.923032281
"Year2020",-28.5194961571236,-137.816591278052,80.7775989638048,55.4595227647526,0.896516269
"Year2021",-118.788143272733,-278.243527498514,40.6672409530468,81.1992664802488,0.896516269
"Work:Year2020",-0.000556736581023631,-0.311248587861891,0.310135114699844,0.157622698239799,0.479971481
"Work:Year2021",0.19347681339187,-0.287950605921277,0.674904232705017,0.245176273011362,0.479971481
"SexM",2.43672919175984,-21.4941706855581,26.3676290690778,12.1558003127411,0.161300584
"SexM:Work",0.000238479868491574,-0.031922463871631,0.0323994236086142,0.016319247014349,0.008620303
"SexM:Year2020",-0.029824065217878,-6.12483934341636,6.06519121298061,3.09292614919232,0.002146466
"SexM:Year2021",-0.0131784517107729,-5.16178630550273,5.13542940208118,2.6122074060566,0.002146466
