"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model5",6,1003.97269178226,0,1,0.712089865752116,-495.734848885143,0.712089865752116,"TotalEnergy ~ Collection_RiverMile_m + RunTimingGroup + Sex"
"model10",8,1007.62949098755,3.65679920528612,0.160670498766058,0.114411833896647,-495.37838185741,0.826501699648763,"TotalEnergy ~ Collection_RiverMile_m + RunTimingGroup + Sex + Year"
"model8",8,1007.71867935878,3.74598757651404,0.153662938204841,0.109421821037361,-495.422976043024,0.935923520686124,"TotalEnergy ~ Collection_RiverMile_m + RunTimingGroup + Sex + RunTimingGroup:Sex"
"model3",4,1009.50920251622,5.53651073396122,0.0627714223637319,0.0446988937240592,-500.636258062845,0.980622414410183,"TotalEnergy ~ Collection_RiverMile_m + Sex"
"model7",6,1011.58544692904,7.61275514677345,0.0222285545994694,0.0158287284605997,-499.54122645853,0.996451142870783,"TotalEnergy ~ Collection_RiverMile_m + Sex + Year"
"model9",8,1014.70435732956,10.7316655473029,0.00467356659640158,0.00332799941021518,-498.915815028419,0.999779142280998,"TotalEnergy ~ Collection_RiverMile_m + Sex + Year + Sex:Year"
"model2",5,1020.47571718625,16.5030254039903,0.000260863649724838,0.000185758361312167,-505.059287164555,0.99996490064231,"TotalEnergy ~ Collection_RiverMile_m + RunTimingGroup"
"model6",7,1024.20265711805,20.2299653357903,4.04686617270364e-05,2.88173238963731e-05,-504.763979161436,0.999993717966207,"TotalEnergy ~ Collection_RiverMile_m + RunTimingGroup + Year"
"model4",5,1027.24922314114,23.2765313588778,8.82196715436665e-06,6.28203340662252e-06,-508.446040141998,0.999999999999613,"TotalEnergy ~ Collection_RiverMile_m + Year"
"model1",2,1060.45514973342,56.4824579511611,5.43237940089033e-13,3.86834231829455e-13,-528.192487147413,1,"TotalEnergy ~ 1"
