"","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"(Intercept)",19.6731066391945,17.257047680455,22.0891655979341,1.22431336237524,1
"Collection_RiverMile_m",-4.94783476247306e-05,-7.08177302444167e-05,-2.81389650050445e-05,1.0817819070632e-05,1
"RunTimingGroupLate",-2.36810161234959,-4.49000545909709,-0.246197765602085,1.07764563769803,0.936138096
"RunTimingGroupMiddle",-1.0235583523761,-2.72516528664006,0.67804858188785,0.862663929915785,0.936138096
"SexM",2.88244219371626,1.41016664219025,4.35471774524228,0.746223188590075,0.999779142
"Year2020",-0.0894722228315922,-0.988971843185363,0.810027397522179,0.456737591420899,0.133603661
"Year2021",-0.0190129594479511,-1.07853015361452,1.04050423471861,0.537262572888618,0.133603661
"RunTimingGroupLate:SexM",-0.131887020568812,-1.39831167155051,1.13453763041289,0.643056028679292,0.109421821
"RunTimingGroupMiddle:SexM",-0.0850348364699383,-1.22658637128929,1.05651669834941,0.578948666053226,0.109421821
"SexM:Year2020",0.00570846409716598,-0.262411779621224,0.273828707815556,0.136325088185033,0.003327999
"SexM:Year2021",0.00137722274946439,-0.186795283664366,0.189549729163295,0.0953554240323828,0.003327999
