"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model10",12,1011.27517390928,0,1,0.920444666928339,-492.872881072289,0.920444666928339,"TotalEnergy_mJ~ Gonad_Wt_g + Collection_Location + Sex + Year"
"model5",10,1016.22432151511,4.94914760582219,0.084198867923687,0.0775003989417612,-497.578180175029,0.9979450658701,"TotalEnergy_mJ~ Gonad_Wt_g + Collection_Location + Sex"
"model8",16,1023.48440517901,12.2092312697222,0.0022325393154582,0.00205492890662134,-494.382202589503,0.999999994776721,"TotalEnergy_mJ~ Gonad_Wt_g + Collection_Location + Sex + Collection_Location:Sex"
"model6",11,1049.60957249742,38.3343985881357,4.74013939204273e-09,4.36303602390266e-09,-513.160883809685,0.999999999139757,"TotalEnergy_mJ~ Gonad_Wt_g + Collection_Location + Year"
"model2",9,1053.63726481028,42.3620909009984,6.32686896460941e-10,5.82353279682915e-10,-517.383849796445,0.99999999972211,"TotalEnergy_mJ~ Gonad_Wt_g + Collection_Location"
"model7",6,1055.74406762476,44.4688937154721,2.20649232685875e-10,2.03095409487544e-10,-521.672033812378,0.999999999925206,"TotalEnergy_mJ~ Gonad_Wt_g + Sex + Year"
"model3",4,1059.07023929808,47.7950653888,4.18247563556821e-11,3.84973739331647e-11,-525.4407800264,0.999999999963703,"TotalEnergy_mJ~ Gonad_Wt_g + Sex"
"model9",8,1059.18799684077,47.912822931486,3.94332610863806e-11,3.62961348665518e-11,-521.247844574231,1,"TotalEnergy_mJ~Gonad_Wt_g + Sex + Year + Sex:Year"
"model4",5,1081.82425292,70.5490790107164,4.79139682931032e-16,4.41021565867603e-16,-535.769946365213,1,"TotalEnergy_mJ~Gonad_Wt_g + Year"
"model1",2,1084.46887223049,73.1936983212103,1.27699840406922e-16,1.17540637070152e-16,-540.206398732069,1,"TotalEnergy_mJ~1"
