"","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"(Intercept)",7.31224380391777,6.21702569545057,8.40746191238497,0.555763477246312,1
"Gonad_Wt_g",5.55072645341675e-05,-0.000756886654697673,0.000867901183766009,0.000412065651952709,1
"Collection_LocationGulkana Hatchery",-1.34827488322927,-2.604253459961,-0.0922963064975373,0.63709004561977,1
"Collection_LocationLong Lake",1.14228127856979,-0.0259862301327405,2.31054878727233,0.592585089987341,1
"Collection_LocationMahlo",-2.15082336765815,-3.34983011973551,-0.951816615580781,0.608182891628821,1
"Collection_LocationMentasta",-1.52020288070894,-2.73821390787871,-0.30219185353917,0.617813581617218,1
"Collection_LocationSt Anne",-1.84028360550746,-3.07162871418017,-0.608938496834758,0.624585701454639,1
"Collection_LocationTanada",1.19681576188691,-0.25189510262403,2.64552662639785,0.734826676167193,1
"SexM",2.1943346886014,1.51959399667783,2.86907538052498,0.342275244199303,1
"Year2020",0.559277169705966,-0.362036745131984,1.48059108454392,0.467643911599824,0.9204447
"Year2021",1.08378616147843,0.114708361801999,2.05286396115485,0.492740123037448,0.9204447
"Collection_LocationGulkana Hatchery:SexM",-0.005451272627525,-0.267487265618516,0.256584720363467,0.133540378604996,0.002054929
"Collection_LocationLong Lake:SexM",-0.00108639283635675,-0.117763390644328,0.115590604971614,0.0592313452390495,0.002054929
"Collection_LocationMahlo:SexM",-0.0033676787147019,-0.185783492826711,0.179048135397308,0.0928683265873523,0.002054929
"Collection_LocationMentasta:SexM",-0.0018324953396493,-0.138717651028425,0.135052660349127,0.0695623918744525,0.002054929
"Collection_LocationSt Anne:SexM",-0.000725853148366762,-0.117437864781918,0.115986158485184,0.0592170868878021,0.002054929
"Collection_LocationTanada:SexM",-0.00193902664229516,-0.157710203430554,0.153832150145964,0.0791383249598902,0.002054929
"SexM:Year2020",-1.44104695356146e-11,-1.29767599939254e-05,1.29767311729863e-05,6.58774624225818e-06,3.629613e-11
"SexM:Year2021",-2.87070593952979e-11,-1.40065180909263e-05,1.40064606768075e-05,7.12345434973387e-06,3.629613e-11
