"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model5",13,639.635660654742,0,1,0.518383371600273,-304.839569457806,0.518383371600273,"TotalEnergy_mJ~Collection_RiverMile_m + Group_Assignment + Sex"
"model2",12,641.364353700749,1.72869304600647,0.421326790052284,0.218408801972823,-307.004757495536,0.736792173573096,"TotalEnergy_mJ~Collection_RiverMile_m + Group_Assignment"
"model10",14,642.103530272177,2.46786961743499,0.291144722075258,0.150924582652996,-304.744072828396,0.887716756226093,"TotalEnergy_mJ~Collection_RiverMile_m + Group_Assignment + Sex + Year"
"model6",13,643.959338586572,4.32367793182993,0.11511323695485,0.0596727878884763,-307.001408423721,0.947389544114569,"TotalEnergy_mJ~Collection_RiverMile_m + Group_Assignment + Year"
"model3",4,645.077393209922,5.4417325551799,0.0658177133131862,0.0341188081383096,-318.340676802981,0.981508352252878,"TotalEnergy_mJ~Collection_RiverMile_m + Sex"
"model7",5,647.213241582471,7.57758092772872,0.0226229485831637,0.01172736036208,-318.306620791236,0.993235712614958,"TotalEnergy_mJ~Collection_RiverMile_m + Sex + Year"
"model9",6,649.196245750024,9.56058509528191,0.00839354309704715,0.0043510731703195,-318.17388045077,0.997586785785278,"TotalEnergy_mJ~Collection_RiverMile_m + Sex + Year + Sex:Year"
"model4",4,650.954651040434,11.3189903856913,0.00348427534145699,0.00180619039908816,-321.279305718237,0.999392976184366,"TotalEnergy_mJ~Collection_RiverMile_m + Year"
"model8",20,653.13743362597,13.5017729712275,0.0011698421127878,0.000606426698666926,-301.627540342397,0.999999402883033,"TotalEnergy_mJ~Collection_RiverMile_m + Group_Assignment + Sex + Group_Assignment:Sex"
"model1",2,666.983885869514,27.3482252147719,1.15188294927389e-06,5.97116966933465e-07,-331.433690507573,1,"TotalEnergy_mJ~1"
