"Parameter","Avg_Coef","SE","CI_Lower","CI_Upper","ParamLikelihood"
"(Intercept)",18.1220819377699,2.35174073777996,13.4631048994132,22.7810589761267,1
"Collection_RiverMile_m",-7.49363178298672e-05,1.51107267123317e-05,-0.000104931978912662,-4.49406567470723e-05,0.481616628399727
"Group_AssignmentChitina",6.56407234922914,2.42806800880846,1.74345876231803,11.3846859361403,0.266061757989268
"Group_AssignmentGulkana",4.3270481216176,3.29373077916453,-2.21123569862538,10.8653319418606,0.266061757989268
"Group_AssignmentGulkanaHatchery",7.56254304993769,2.18324717367302,3.22814041953612,11.8969456803393,0.266061757989268
"Group_AssignmentKlutinaLake",4.04521976489987,2.05532243822943,-0.0354696216457002,8.12590915144543,0.266061757989268
"Group_AssignmentKlutinaTonsinaOutlet",3.4377370962119,2.49518905833309,-1.51626569287286,8.39173988529665,0.266061757989268
"Group_AssignmentLowerGroups",0.205221510226704,5.00539431218577,-9.73187569973978,10.1423187201932,0.266061757989268
"Group_AssignmentSlana",3.11344728758927,2.33884499286176,-1.53014999801987,7.7570445731984,0.266061757989268
"Group_AssignmentTanadaCopperLakes",8.40685633848394,2.3816911122097,3.6782418571908,13.1354708197771,0.266061757989268
"Group_AssignmentTazlina",0.819960211595731,3.25647862723138,-5.64549104834762,7.28541147153908,0.266061757989268
"SexM",1.8872316312549,0.983437321371069,-0.0634883886224247,3.83795165113223,0.191807678176348
"Year2021",-0.356558665093341,1.20296111711654,-2.74434311497293,2.03122578478624,0.0763582452365096
"Group_AssignmentChitina:SexM",7.80228078675998,4.96515804024964,-2.06650845343876,17.6710700269587,0.00180619039908816
"Group_AssignmentGulkana:SexM",NA,NA,NA,NA,0.00180619039908816
"Group_AssignmentGulkanaHatchery:SexM",8.83665803301706,4.31570423110489,0.258728562383999,17.4145875036501,0.00180619039908816
"Group_AssignmentKlutinaLake:SexM",8.34260892927548,4.08839938944481,0.216472444371277,16.4687454141797,0.00180619039908816
"Group_AssignmentKlutinaTonsinaOutlet:SexM",5.25644796883604,5.05149532911944,-4.78394598173027,15.2968419194024,0.00180619039908816
"Group_AssignmentLowerGroups:SexM",NA,NA,NA,NA,0.00180619039908816
"Group_AssignmentSlana:SexM",8.79677331543591,4.6728291378513,-0.490980577408047,18.0845272082799,0.00180619039908816
"Group_AssignmentTanadaCopperLakes:SexM",8.24582239813614,4.78454600578424,-1.26398086660452,17.7556256628768,0.00180619039908816
"Group_AssignmentTazlina:SexM",9.39609796395531,6.7663698511781,-4.05279478854088,22.8449907164515,0.00180619039908816
"SexM:Year2021",-0.989636318817586,1.96643423388398,-4.8905128738465,2.91124023621133,0.000606426698666926
