"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model12",9,1428.85666605073,0,1,0.367128100891986,-704.898921260657,0.367128100891986,"TotalEnergy ~ Collection_Location + RunTimingGroup + Sex + Year"
"model6",8,1429.70158900773,0.844922957008521,0.655431502042361,0.240627322609594,-706.429741872288,0.607755423501579,"TotalEnergy ~ Collection_Location + RunTimingGroup + Sex"
"model4",6,1430.16610425175,1.30943820102038,0.519587994092497,0.190755353517455,-708.840277559399,0.798510777019034,"TotalEnergy ~ Collection_Location + Sex"
"model8",7,1430.92003677627,2.06337072554538,0.356405781073285,0.13084657755236,-708.134436992787,0.929357354571394,"TotalEnergy ~ Collection_Location + Sex + Year"
"model9",10,1433.22893611066,4.37227005993327,0.112350140480749,0.041246893709645,-705.963580481365,0.970604248281039,"TotalEnergy ~ Collection_Location + RunTimingGroup + Sex + RunTimingGroup:Sex"
"model11",9,1434.86112073728,6.00445468655289,0.0496762988825096,0.0182375652680784,-707.901148603934,0.988841813549117,"TotalEnergy ~ Collection_Location + Sex + Year + Sex:Year"
"model7",7,1437.97801500453,9.12134895380564,0.0104550049054738,0.00383832609576298,-711.663426106917,0.99268013964488,"TotalEnergy ~ Collection_Location + RunTimingGroup + Year"
"model3",6,1438.72464472807,9.86797867734504,0.00719773174023768,0.00264248958452342,-713.119547797562,0.995322629229403,"TotalEnergy ~ Collection_Location + RunTimingGroup"
"model2",4,1438.72721600737,9.87054995664744,0.00718848399682031,0.00263909447804507,-715.249322289401,0.997961723707448,"TotalEnergy ~ Collection_Location"
"model5",5,1439.42849404097,10.5718279902414,0.0050624030612862,0.00185855042183978,-714.54183322738,0.999820274129288,"TotalEnergy ~ Collection_Location + Year"
"model10",10,1444.11498940663,15.2583233559017,0.000486068169251358,0.000178449283881295,-711.406607129349,0.99999872341317,"TotalEnergy ~ Collection_Location + RunTimingGroup + Year + RunTimingGroup:Year"
"model1",2,1453.99521832498,25.1385522742528,3.47722450953083e-06,1.27658683055912e-06,-724.963710857405,1,"TotalEnergy ~ 1"
