"","Avg_Coef","CI_Lower","CI_Upper","SE"
"(Intercept)",22.2484411465198,19.772452179578,24.7244301134616,1.25488685575604
"Collection_RiverMile_m",-5.0063689757624e-05,-7.14741264262888e-05,-2.86532530889593e-05,1.08502389327001e-05
"RunTimingGroupLate",-3.1972800880344,-5.141530131242,-1.2530300448268,0.985480033660607
"RunTimingGroupMiddle",-1.53232729573016,-3.33286776077411,0.268213169313794,0.912518619487761
"SexM",2.23986928567901,0.61478640296468,3.86495216839334,0.824040670882181
"RunTimingGroupLate:SexM",-1.43069378742,-4.76917385439978,1.90778627955978,1.6913526344958
"RunTimingGroupMiddle:SexM",-1.12142559041459,-4.44337824889394,2.20052706806477,1.68297946007279
"Year2020",-0.365349793974891,-2.57273180452117,1.84203221657138,1.11863316956845
"Year2021",-0.256420697532137,-3.23916516063797,2.7263237655737,1.5117425308497
"SexM:Year2020",1.40764688571614,-2.03485448665232,4.8501482580846,1.74405227786135
"SexM:Year2021",0.447496664758337,-2.9806914871809,3.87568481669758,1.73680086326687
