"","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"(Intercept)",22.2484411465198,19.772452179578,24.7244301134616,1.25488685575604,1
"Collection_RiverMile_m",-5.00636897573121e-05,-7.14741264273112e-05,-2.86532530873129e-05,1.08502389333861e-05,1
"RunTimingGroupLate",-3.16337680323028,-5.20102663971669,-1.12572696674386,1.03349971928211,0.9893962106
"RunTimingGroupMiddle",-1.51607881974749,-3.33327430630095,0.301116666805959,0.921137627791224,0.9893962106
"SexM",2.19484251639529,0.472215275853304,3.91746975693728,0.874196370367431,0.9798975906
"RunTimingGroupLate:SexM",-0.183745406722547,-1.70413351498707,1.33664270154198,0.77234718330987,0.1284309811
"RunTimingGroupMiddle:SexM",-0.144025788768809,-1.54332864064664,1.25527706310903,0.710310663845212,0.1284309811
"Year2020",-0.0348958664160686,-0.748822319134227,0.67903058630209,0.362010295617631,0.095513579
"Year2021",-0.024491658555613,-0.958077521646351,0.909094204535125,0.473248098940547,0.095513579
"SexM:Year2020",0.000678623531595914,-0.0961773747709959,0.0975346218341877,0.0492057683075072,0.0004820978
"SexM:Year2021",0.000215737178192383,-0.0774793363678038,0.0779108107241885,0.0393793385491703,0.0004820978
