"Model #","K","AICc","Delta_AICc","ModelLik","AICcWt","LL","Cum.Wt","ModelName"
"model10",12,1072.31207822198,0,1,0.987167795398413,-523.402415922586,0.987167795398413,"TotalEnergy_mJ~ Gonad_Wt_g + Work + Sex + Year"
"model5",10,1081.0181972387,8.70611901671145,0.0128673844256845,0.0127022675160469,-529.982782829874,0.99987006291446,"TotalEnergy_mJ~ Gonad_Wt_g + Work + Sex"
"model8",16,1091.00123337538,18.6891551533936,8.74382632314343e-05,8.63162375476412e-05,-528.160715209856,0.999956379152008,"TotalEnergy_mJ~ Gonad_Wt_g + Work + Sex + Work:Sex"
"model6",11,1092.40843696263,20.0963587406443,4.32644459339347e-05,4.27092677117362e-05,-534.569603096699,0.99999908841972,"TotalEnergy_mJ~ Gonad_Wt_g + Work + Year"
"model2",9,1100.10330207799,27.7912238560066,9.23022774789344e-07,9.11178357691323e-07,-540.623079610424,0.999999999598077,"TotalEnergy_mJ~ Gonad_Wt_g + Work"
"model7",6,1116.60392809132,44.2918498693336,2.41072129504586e-10,2.37978642615043e-10,-552.104780947068,0.999999999836056,"TotalEnergy_mJ~ Gonad_Wt_g + Sex + Year"
"model9",8,1117.47271435886,45.1606361368745,1.56132194256741e-10,1.54128673995143e-10,-550.395124951941,0.999999999990185,"TotalEnergy_mJ~Gonad_Wt_g + Sex + Year + Sex:Year"
"model3",4,1123.08711247874,50.7750342567595,9.42630313605394e-12,9.30534288557552e-12,-557.450532983558,0.99999999999949,"TotalEnergy_mJ~ Gonad_Wt_g + Sex"
"model4",5,1129.0952356128,56.7831573908124,4.67405738491848e-13,4.61407892423565e-13,-559.407430890511,0.999999999999951,"TotalEnergy_mJ~ Gonad_Wt_g + Year"
"model1",2,1133.59343971484,61.2813614928516,4.93084590002304e-14,4.86757227657505e-14,-564.769070087833,1,"TotalEnergy_mJ~ 1"
