"","Avg_Coef","CI_Lower","CI_Upper","SE","ParamLikelihood"
"(Intercept)",9.55735601276704,8.45073444283971,10.6639775826944,0.561435723126535,1
"Gonad_Wt_g",0.000228024007223794,-0.00067495862140515,0.00113100663585274,0.000458047023067637,1
"Work164.7",-3.59214463851939,-4.81773952475884,-2.36654975227993,0.621694964061269,1
"Work171.6",-3.16558915426595,-4.40957602672341,-1.92160228180849,0.631024519270403,1
"Work298.2",-2.74334344295678,-3.97750239522912,-1.50918449068443,0.626039028329599,1
"Work416.8",0.0273222915427309,-1.46225614148868,1.51690072457414,0.755602802368428,1
"Work443.1",-2.89951126099515,-4.19448745675175,-1.60453506523854,0.656893117907367,1
"Work471.1",-0.89010872357564,-2.18576047597692,0.405543028825642,0.657236157601587,1
"SexM",1.76063549326139,1.02541502089951,2.49585596562327,0.372949886554633,0.9999564
"Year2020",0.438409776189448,-0.556599049218882,1.43341860159778,0.504755680134018,0.9872105
"Year2021",1.45740521776832,0.551965949696268,2.36284448584036,0.459638023353527,0.9872105
"SexM:Work164.7",-7.92779281551686e-05,-0.0290090841538173,0.0288505282975069,0.014702414941145,8.631624e-05
"SexM:Work171.6",3.98167769388784e-05,-0.0252722485618378,0.0253518821157155,0.0128467317733496,8.631624e-05
"SexM:Work298.2",-4.31866562458877e-05,-0.0254521892747978,0.025365815962306,0.0128973452940877,8.631624e-05
"SexM:Work416.8",-8.7868248349283e-05,-0.0338805290348283,0.0337047925381297,0.0171703722969315,8.631624e-05
"SexM:Work443.1",-0.00015411505804573,-0.0409942115065933,0.0406859813905018,0.0207921911326858,8.631624e-05
"SexM:Work471.1",-4.75635429251026e-06,-0.0247567959698542,0.0247472832612692,0.0125543913274413,8.631624e-05
"SexM:Year2020",5.01362137513402e-11,-2.84815739703523e-05,2.84816742427798e-05,1.44555340714208e-05,1.541287e-10
"SexM:Year2021",-2.02940847462386e-10,-3.97386677292837e-05,3.97382618475888e-05,2.02348566968576e-05,1.541287e-10
