"","Fish_ID_Revised","Fish_ID","GillClip_ID_Revised","GillClip_ID","Collection_Date","RunTimingGroup","Collection_Location","Processing_Date","Col_Location_Lat","Col_Location_Long","Fish_Wt","Fish_Leng_1","Fish_Leng_1_tape","Fish_Leng_2","Fish_Leng_2_tape","Fish_Ht","Fish_Ht_tape","Fish_Wdth","Fish_Grth","Sex","Gonad_Wt","DWP.","Fem_Fecun_1_num","Fem_Fecun_1_wt","Fem_Fecun_2_num","Fem_Fecun_2_wt","Fem_Fecun_3_num","Fem_Fecun_3_wt","Fem_Egg_Sz_1","Fem_Egg_Sz_2","Fem_Egg_Sz_3","Carcass.guts_Wt","Oto_Well_ID","Strontium_marked_Y.N","Scales_Y.N","Scales_num","Fish_Ground_Y.N","Gonad_Saved_Y.N","Gonad_Saved_wt","Fat_Meter_1._L","Fat_Meter_1._R","Fat_Meter_2._L","Fat_Meter_2._R","Fat_Meter_3._L","Fat_Meter_3._R","Fat_Meter_4._L","Fat_Meter_4._R","Dissect_Comments","SpawnStatus","Date_LabDryStart","Fish.BagWt_g","Date_LabDryFinal","DryFish.BagWt_g","Pwater","Pdry","Dry_Comments","Date_BCProcess","Bomb_ID_1","Bomb_PelletWt_g_1","EE_Value_1","EnergyDensity_mJ.kg_1","EnergyPDry_1","Bomb_ID_2","Bomb_PelletWt_g_2","EE_value_2","EnergyDensity_mJ.kg_2","EnergyPDry_2","Bomb_ID_3","Bomb_PelletWt_g_3","EE_value_3","EnergyDensity_mJ.kg_3","EnergyPDry_3","Bomb_ID_4","Bomb_PelletWt_g_4","EE_value_4","EnergyDensity_mJ.kg_4","EnergyPDry_4","BC_comments","Collection_RiverMile_m","Elevation_m","Year","Group_Assignment","Fish_Leng_1_mm","Fish_Leng_2_mm","Fish_Ht_mm","Fish_Grth_mm","Fish_Wt_g","bodysize_pc_g_mm"
"6","GH-6-2019","GK6-2019","GH-6-19","GK6","2019-07-27",NA,"Fish Creek Gulkana","8/7/19",63.1000428,-145.481274,1.376,41.4,42.1,3.4,3.6,10,10.5,6.3,27.2,"F",0.21,"N/A",49,3.7829,52,4.3651,45,3.971,4.7,4.9,4.4,1.118,"1-G9","N","Y","5","Y","Y",0.102,0.9,0.8,0.9,0.8,0.8,0.8,1.2,1.3,"",0,"11/3/19",137,"11/10/19",34.7,"0.7467","0.2533","","11/26/19",4,0.2888,923.3249,23.0405,5.835805474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2019,"Gulkana",414,34,100,272,1376,-1.5050309152888
"7","GH-7-2019","GK7-2019","GH-7-19","GK7","2019-07-27",NA,"Fish Creek Gulkana","8/7/19",63.1000428,-145.481274,1.184,39.8,40,3.5,3.9,8.8,9.7,5.3,24,"F",0.188,"N/A",68,6.2316,82,9.5306,47,5.5035,4.7,4.2,4.5,0.948,"1-G1","N","Y","5","Y","Y",0.1,0.7,1.1,1.3,0.8,1.3,0.7,1,0.7,"",0,"11/3/19",157.8,"11/10/19",37.7,"0.7611","0.2389","","11/26/19",2,0.304,923.1981,19.3525,4.62350602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2019,"Gulkana",398,35,88,240,1184,-2.58028343650051
"8","GH-8-2019","GK8-2019","GH-8-19","GK8","2019-07-27",NA,"Fish Creek Gulkana","8/7/19",63.1000428,-145.481274,1.444,41.6,42.1,3.3,3.8,6.4,10.2,5.6,25.2,"F",0.236,"N/A",61,7.1919,75,9.5798,48,4.18,4.8,4.6,4.3,1.148,"1-G2","N","Y","5","Y","Y",0.138,0.7,0.6,0.8,0.7,0.6,0.7,0.6,0.6,"",0,"11/3/19",193.6,"11/10/19",43.1,"0.7774","0.2226","","11/26/19",4,0.3865,923.3249,19.4505,4.330147469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2019,"Gulkana",416,33,64,252,1444,-2.74362022292888
"9","GH-9-2019","GK9-2019","GH-9-19","GK9","2019-07-27",NA,"Fish Creek Gulkana","8/7/19",63.1000428,-145.481274,2.078,46.2,46.7,4.6,5.2,12.2,11.7,6.9,30.1,"F",0.44,"N/A",50,6.4796,85,10.2085,93,10.5876,5.1,5.3,5.1,1.59,"1-F12","N","Y","5","Y","Y",0.18,1,1.1,1,1.1,0.8,1.4,0.7,1.1,"",0,"11/3/19",132,"11/10/19",35.2,"0.7333","0.2667","","11/26/19",2,0.3096,923.1981,22.9675,6.124666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2019,"Gulkana",462,46,122,301,2078,0.36342055071053
"10","GH-10-2019","GK10-2019","GH-10-19","GK10","2019-07-27",NA,"Fish Creek Gulkana","8/7/19",63.1000428,-145.481274,1.334,40.2,41.6,3.4,4,9,10.2,5.5,24.1,"F",0.198,"N/A",64,3.9213,89,5.3753,60,3.7846,4.4,4.3,4.1,1.08,"1-G8","N","Y","5","Y","Y",0.116,1,1.1,0.9,1,0.8,1,1,1.2,"",0,"11/3/19",95.2,"11/10/19",25.7,"0.73","0.27","","11/26/19",4,0.3218,923.3249,22.2529,6.007348004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2019,"Gulkana",402,34,90,241,1334,-2.44064771590565
"16","GH-16-2019","GK16-2019","GH-16-19","GK16","2019-08-17",NA,"Gulkana Hatchery","9/3/19",63.06732669,-145.5138318,0.738,37.9,39.4,3.4,3.5,7.9,7.4,3.7,18.1,"F",0,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,"2-C8","Y","Y","5","Y","N",NA,0.4,0.5,0.5,0.5,0.6,0.5,0.5,0.4,"POST SPAWNER, NO EGGS PRESENT",2,"11/10/19",71,"11/25/19",15.4,"0.7831","0.2169","TOOK SAMPLES OFF TO THAW FREEZE DRIER THEN PUT BACK ON","12/1/19",4,0.4056,923.3249,17.4722,3.789744789,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2019,"GulkanaHatchery",379,34,79,181,738,-4.01946468223022
"17","GH-17-2019","GK17-2019","GH-17-19","GK17","2019-08-17",NA,"Gulkana Hatchery","9/4/19",63.06732669,-145.5138318,1.234,44.4,45,4.5,4.7,9.9,8.8,4.7,22.4,"F",0,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.176,"2-E12","N","Y","5","Y","N",NA,0.6,0.6,0.5,0.8,0.6,0.6,0.7,0.7,"POST SPAWNER, NO EGGS PRESENT",2,"11/10/19",141.2,"11/25/19",26.5,"0.8123","0.1877","TOOK SAMPLES OFF TO THAW FREEZE DRIER THEN PUT BACK ON","12/1/19",2,0.4296,923.1981,19.2209,3.607321884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2019,"GulkanaHatchery",444,45,99,224,1234,-1.70229393510294
"18","GH-18-2019","GK18-2019","GH-18-19","GK18","2019-08-17",NA,"Gulkana Hatchery","9/4/19",63.06732669,-145.5138318,1.832,47,48.7,4,4.7,12.3,12.1,6.1,27.4,"F",NA,"N/A",54,5.1436,NA,NA,NA,NA,5.1,NA,NA,1.596,"2-F4","N","Y","5","Y","N",NA,0.8,0.6,0.7,0.6,0.5,0.6,0.5,0.6,"SKEINS LOOSE AND BODY CAVITY FILLED WITH EGGS",0,"11/10/19",156.6,"11/25/19",32.9,"0.7899","0.2101","TOOK SAMPLES OFF TO THAW FREEZE DRIER THEN PUT BACK ON","12/1/19",4,0.4917,923.3249,20.2046,4.244772286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2019,"GulkanaHatchery",470,40,123,274,1832,0.138726823865844
"19","GH-19-2019","GK19-2019","GH-19-19","GK19","2019-08-17",NA,"Gulkana Hatchery","9/3/19",63.06732669,-145.5138318,1.792,46.5,47.4,4.2,4.7,10.8,11,5.9,26.9,"F",0,"N/A",55,3.5626,NA,NA,NA,NA,4.5,NA,NA,1.618,"2-D6","N","Y","5","Y","N",NA,0.7,0.5,0.5,0.5,0.7,0.5,0.7,0.5,"LIKELY A PARTIAL SPAWNER, SKEIN LOOSE WITH EGGS THROUGHOUT BODY CAVITY",1,"11/10/19",130.5,"11/25/19",27,"0.7931","0.2069","TOOK SAMPLES OFF TO THAW FREEZE DRIER THEN PUT BACK ON","12/1/19",2,0.4485,923.1981,21.3085,4.408655172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2019,"GulkanaHatchery",465,42,108,269,1792,-0.431628119012198
"20","GH-20-2019","GK20-2019","GH-20-19","GK20","2019-08-17",NA,"Gulkana Hatchery","9/3/19",63.06732669,-145.5138318,1.164,44.7,45.3,4,4.2,9.4,9.5,4.1,22.9,"F",0,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.12,"2-C12","N","Y","5","Y","N",NA,0.8,0.6,0.7,0.6,0.8,0.5,0.6,0.6,"POST SPAWNER, NO EGGS PRESENT",2,"11/10/19",129.3,"11/25/19",26.8,"0.7927","0.2073","TOOK SAMPLES OFF TO THAW FREEZE DRIER THEN PUT BACK ON","12/1/19",4,0.3769,923.3249,18.6226,3.859904718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2019,"GulkanaHatchery",447,40,94,229,1164,-1.7131529689113
