"","X","Fish_ID_Revised","Fish_ID","GillClip_ID_Revised","GillClip_ID","Collection_Date","RunTimingGroup","Collection_Location","Processing_Date","Col_Location_Lat","Col_Location_Long","Fish_Wt","Fish_Leng_1","Fish_Leng_1_tape","Fish_Leng_2","Fish_Leng_2_tape","Fish_Ht","Fish_Ht_tape","Fish_Wdth","Fish_Grth","Sex","Gonad_Wt","DWP.","Fem_Fecun_1_num","Fem_Fecun_1_wt","Fem_Fecun_2_num","Fem_Fecun_2_wt","Fem_Fecun_3_num","Fem_Fecun_3_wt","Fem_Egg_Sz_1","Fem_Egg_Sz_2","Fem_Egg_Sz_3","Carcass.guts_Wt","Oto_Well_ID","Strontium_marked_Y.N","Scales_Y.N","Scales_num","Fish_Ground_Y.N","Gonad_Saved_Y.N","Gonad_Saved_wt","Fat_Meter_1._L","Fat_Meter_1._R","Fat_Meter_2._L","Fat_Meter_2._R","Fat_Meter_3._L","Fat_Meter_3._R","Fat_Meter_4._L","Fat_Meter_4._R","Dissect_Comments","SpawnStatus","Date_LabDryStart","Fish.BagWt_g","Date_LabDryFinal","DryFish.BagWt_g","Pwater","Pdry","Dry_Comments","Date_BCProcess","Bomb_ID_1","Bomb_PelletWt_g_1","EE_Value_1","EnergyDensity_mJ.kg_1","EnergyPDry_1","Bomb_ID_2","Bomb_PelletWt_g_2","EE_value_2","EnergyDensity_mJ.kg_2","EnergyPDry_2","Bomb_ID_3","Bomb_PelletWt_g_3","EE_value_3","EnergyDensity_mJ.kg_3","EnergyPDry_3","Bomb_ID_4","Bomb_PelletWt_g_4","EE_value_4","EnergyDensity_mJ.kg_4","EnergyPDry_4","BC_comments","Collection_RiverMile_m","Elevation_m","Year","Group_Assignment","Fish_Leng_1_mm","Fish_Leng_2_mm","Fish_Ht_mm","Fish_Grth_mm","Fish_Wt_g","bodysize_pc_g_mm","Fish_Wdth_mm","Predicted_Fish_Wdth_mm","fineness"
"1",1,"GH-1-2019","GK1-2019","GH-1-19","GK1","2019-07-27",NA,"Fish Creek Gulkana","8/8/19",63.1000428,-145.481274,1.984,43.7,46,6.7,8.2,11.8,12.1,6.5,28.8,"M",0.048,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,"1-H9","N","Y","5","Y","Y",0.022,0.7,1,0.9,0.7,0.7,1,0.7,0.9,"",0,"11/3/19",105.7,"11/10/19",26.3,"0.7512","0.2488","","11/26/19",2,0.2375,923.1981,21.393,5.322950804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2019,"Gulkana",437,67,118,288,1984,-0.375504995839061,65,56.9003533553093,6.72307692307692
"2",2,"GH-2-2019","GK2-2019","GH-2-19","GK2","2019-07-27",NA,"Fish Creek Gulkana","8/8/19",63.1000428,-145.481274,1.414,39.6,41,5.7,6.1,10.7,11.1,5.8,26.9,"M",0.038,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31,"1-H6","N","Y","5","Y","Y",0.019,0.7,1,0.7,0.7,0.8,1,0.7,0.7,"",0,"11/3/19",120.9,"11/10/19",33.4,"0.7237","0.2763","","11/26/19",4,0.2183,923.3249,22.7845,6.294477254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2019,"Gulkana",396,57,107,269,1414,-1.67478307133404,58,52.7289350481175,6.82758620689655
"3",3,"GH-3-2019","GK3-2019","GH-3-19","GK3","2019-07-27",NA,"Fish Creek Gulkana","8/7/19",63.1000428,-145.481274,2.19,47.2,47.4,7.1,7.5,12.5,12.6,6.9,30.4,"M",0.046,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.064,"1-G3","N","Y","5","Y","Y",0.022,0.7,0.7,0.8,0.6,1,0.5,0.5,0.6,"",0,"11/3/19",106,"11/10/19",24.6,"0.7679","0.2321","","11/26/19",2,0.2278,923.1981,20.7418,4.813663019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2019,"Gulkana",472,71,125,304,2190,0.66518973455633,69,58.407918568084,6.84057971014493
"4",4,"GH-4-2019","GK4-2019","GH-4-19","GK4","2019-07-27",NA,"Fish Creek Gulkana","8/8/19",63.1000428,-145.481274,2.11,44.7,46,6.5,6.9,13.4,13.8,7.1,30.9,"M",0.026,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99,"1-H10","N","Y","5","Y","Y",0.008,0.7,0.7,0.6,0.7,0.6,0.8,0.8,0.8,"",0,"11/3/19",201.8,"11/10/19",48,"0.7621","0.2379","","11/26/19",4,0.2998,923.3249,22.0355,5.241347869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2019,"Gulkana",447,65,134,309,2110,0.54311994665584,71,57.8224563495307,6.29577464788732
"5",5,"GH-5-2019","GK5-2019","GH-5-19","GK5","2019-07-27",NA,"Fish Creek Gulkana","8/8/19",63.1000428,-145.481274,1.63,42.6,43.5,5.8,6.4,10.8,11.4,6.2,27,"M",0.042,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.534,"1-H11","N","Y","5","Y","Y",0.02,0.8,0.9,1,0.7,1,0.6,0.9,0.6,"",0,"11/3/19",150.8,"11/10/19",38.1,"0.7473","0.2527","","11/26/19",2,0.3226,923.1981,21.9064,5.534707162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,473968.02,988,2019,"Gulkana",426,58,108,270,1630,-1.10429716399985,62,54.3096830382112,6.87096774193548
"6",11,"GH-11-2019","GK11-2019","GH-11-19","GK11","2019-08-17",NA,"Gulkana Hatchery","9/1/19",63.06732669,-145.5138318,2.204,45.7,47.1,7.7,8.2,14.1,15.1,5.8,33.1,"M",0.068,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.03,"2-C6","N","Y","5","Y","Y",0.034,0.5,0.5,0.5,0.4,0.5,0.5,0.5,0.5,"only found 1 otolith",0,"11/10/19",205.7,"11/25/19",41.8,"0.7968","0.2032","TOOK SAMPLES OFF TO THAW FREEZE DRIER THEN PUT BACK ON","12/1/19",2,0.3075,923.1981,21.7378,4.417306952,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2019,"GulkanaHatchery",457,77,141,331,2204,1.2306117130599,58,58.5103744563308,7.87931034482759
"7",12,"GH-12-2019","GK12-2019","GH-12-19","GK12","2019-08-17",NA,"Gulkana Hatchery","9/3/19",63.06732669,-145.5138318,1.794,47.6,48.5,6.1,6.8,12.7,12.9,5.7,28.2,"M",0.03,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.574,"2-C9","N","Y","5","Y","Y",0.018,0.5,0.4,0.4,0.4,0.5,0.6,0.5,0.4,"partial spawner",1,"11/10/19",212.5,"11/25/19",37,"0.8259","0.1741","TOOK SAMPLES OFF TO THAW FREEZE DRIER THEN PUT BACK ON","12/1/19",4,0.3263,923.3249,17.7668,3.093513412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2019,"GulkanaHatchery",476,61,127,282,1794,0.470080755784316,57,55.5098805862454,8.35087719298246
"8",13,"GH-13-2019","GK13-2019","GH-13-19","GK13","2019-08-17",NA,"Gulkana Hatchery","9/1/19",63.06732669,-145.5138318,1.598,45.3,47.3,6.7,7.4,12.7,12.5,5.2,28.9,"M",0.032,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.58,"2-C3","N","Y","5","Y","Y",0.012,0.4,0.4,0.5,0.4,0.4,0.5,0.5,0.4,"possibly a partial spawner, gonads seemed small",1,"11/10/19",168.4,"11/25/19",32.6,"0.8064","0.1936","TOOK SAMPLES OFF TO THAW FREEZE DRIER THEN PUT BACK ON","12/1/19",2,0.4566,923.1981,16.9268,3.276803325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2019,"GulkanaHatchery",453,67,127,289,1598,0.166674122610685,52,54.0754981507899,8.71153846153846
"9",14,"GH-14-2019","GK14-2019","GH-14-19","GK14","2019-08-18",NA,"Gulkana Hatchery","9/1/19",63.06732669,-145.5138318,1.248,43.6,44.5,5.7,6.3,11,11.4,4.4,24,"M",0.028,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.158,"2-C5","N","Y","5","Y","Y",0.014,0.5,0.4,0.5,0.5,0.5,0.4,0.5,0.5,"PARTIAL SPAWNER",1,"11/10/19",164.3,"11/25/19",30.7,"0.8131","0.1869","TOOK SAMPLES OFF TO THAW FREEZE DRIER THEN PUT BACK ON","12/1/19",4,0.3501,923.3249,17.6081,3.290131893,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,468383.14,909,2019,"GulkanaHatchery",436,57,110,240,1248,-1.31011244132032,44,51.5141009446195,9.90909090909091
"10",15,"GH-15-2019","GK15-2019","GH-15-19","GK15","2019-08-17",NA,"Gulkana Hatchery","9/3/19",63.06732669,-145.5138318,2.27,49.6,49.3,7.6,8.1,13.8,13.2,5.5,31.1,"M",0.036,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.154,"2-D4","N","Y","5","Y","Y",0.018,0.4,0.5,0.4,0.5,0.4,0.4,0.5,0.4,"",0,"11/10/19",157.8,"11/25/19",29.3,"0.8143","0.1857","TOOK SAMPLES OFF TO THAW FREEZE DRIER THEN PUT BACK ON","12/1/19",2,0.3351,923.1981,18.783,3.487591255,4,0.2889,923.3249,20.2735,NA,4,0.3195,923.3249,20.5043,3.807198923,NA,NA,NA,NA,NA,NA,468383.14,909,2019,"GulkanaHatchery",496,76,138,311,2270,1.54485676365091,55,58.9933807866372,9.01818181818182
