Collection,ColLoc_Lat,ColLoc_Long,dd_lat,dd_long
fish creek gulkana,63.100042799999997,-145.481274,63.100000000000001,-145.481
gulkana hatchery,63.067326690000002,-145.5138318,63.067399999999999,-145.514
mentasta,62.917896240200001,-143.8216446,62.917900000000003,-143.822
tanada,62.451329999999999,-143.382153,62.451300000000003,-143.382
st anne,61.739530060000000,-145.9685194,61.739500000000000,-145.969
mahlo,61.735880000000002,-145.7294181,61.734400000000001,-145.729
long lake,61.379208790000000,-143.30713,61.379199999999997,-143.307
copper lake,62.427248929999998,-143.4817789,62.427199999999999,-143.482
klutina river,61.951504309999997,-145.3324535,61.951900000000002,-145.333
upper klutina,61.751415999999999,-145.716282,61.750399999999999,-145.719
canyon creek,61.40097,-144.51765,61.40097,-144.51765
baird canyon,60.73831,-144.5687,60.73831,-144.5687
chitina airport,61.586499,-144.427586,61.586499,-144.427586
