"","Collection_Location","Longitude","Latitude","Elevation_m","River_Distance_m"
"1","Fish Creek Gulkana",-145.481274,63.1000428,995,315067.465793785
"2","Gulkana Hatchery",-145.5138318,63.06732669,947,311562.772672344
"3","Mentasta",-143.35984,62.94958,632,311023.434830103
"4","Tanada",-143.382153,62.45133,883,258364.516326009
"5","St Anne",-145.9685194,61.73953006,538,170057.226265932
"6","Mahlo",-145.7294181,61.73588,537,166457.565200725
"7","Long Lake",-143.30713,61.37920879,463,155777.652203389
"8","Copper Lake",-143.4817789,62.42724893,930,254050.382308247
"9","Klutina Lake",-145.3324535,61.95150431,325,187140.587619804
"10","Upper Klutina",-145.716282,61.751416,548,167996.25909393
