Date_BCProcess,Bomb_ID_1,Bomb_PelletWt_g_1,EE_Value_1,EnergyDensity_mJ/kg_1
2019-09-23,4,1.0633,924.4578,26.4366
2019-10-04,2,0.9966,920.3009,26.5697
2019-10-04,4,0.9806,924.4578,26.4924
2019-10-05,4,0.8822,923.9583,26.4425
2019-10-05,2,1.0369,920.4487,26.5595
2019-10-17,4,0.9317,921.9452,26.4969
2019-11-18,2,0.9564,918.6072,26.5996
2019-11-19,2,1.0178,921.2529,26.5103
2019-11-25,4,0.9990,921.3671,26.5106
2019-12-01,2,1.0224,919.0935,26.5731
2019-12-18,2,1.0030,917.1703,26.6294
2020-01-21,4,0.9811,923.1021,26.4603
2020-01-26,2,1.0025,922.5874,26.4716
2020-02-06,4,1.0492,920.1177,26.5469
2020-02-11,2,1.0132,919.0926,26.5732
2020-02-14,2,0.9662,923.6657,26.4404
2020-11-24,4,1.0302,936.7927,26.0701
2020-11-24,2,0.9889,933.1738,27.0918
2020-10-08,4,0.9939,921.5720,26.5047
2020-10-08,2,1.0131,926.5346,26.3577
2020-10-08,4,1.0345,918.6347,26.5902
2020-10-08,4,1.0109,925.2153,26.3993
2020-11-05,4,1.0304,913.3300,26.7460
2020-11-05,2,1.0063,922.2063,26.4670
2020-11-15,2,0.9864,916.4766,27.5901
2020-11-15,4,1.0191,920.3539,26.5401
2021-02-05,4,0.9827,970.6813,25.1508
2021-02-05,2,1.0075,940.3353,26.8835
2021-02-05,4,1.0187,932.8443,26.1814
2021-02-05,2,0.9852,928.4594,27.2307
2021-02-16,4,0.9785,947.0601,25.7845
2021-02-16,2,0.9953,925.9781,27.3043
2021-02-18,4,1.0069,924.3966,26.4229
2021-02-18,2,0.9944,918.2603,27.5359
2021-09-27,4,1.0005,930.9568,26.2350
2021-09-27,4,1.0158,930.2080,26.2563
2021-09-27,2,1.0041,923.5447,27.3767
2021-09-27,4,0.9938,927.6228,26.3301
2021-09-28,2,0.9919,928.1951,27.2385
2021-09-28,4,1.0259,927.4821,26.3342
2021-09-28,2,1.0202,921.5566,27.4363
2021-09-28,4,1.0089,927.9991,26.3194
2021-09-28,2,1.0073,928.4513,27.2308
2021-10-04,2,1.0210,936.3896,26.9977
2021-10-04,4,1.0225,928.3193,26.3102
2021-10-05,4,1.0009,922.7243,26.4713
2021-10-05,2,0.9966,922.8939,27.3963
2021-10-08,2,0.9952,920.3515,27.4727
2021-10-08,4,1.0107,925.0247,26.4048
2021-10-12,2,1.0052,929.1659,27.2097
2021-10-12,4,1.0109,921.9117,26.4948
2021-10-12,2,1.0154,926.2957,27.3054
2021-10-12,4,0.9954,928.1103,26.3162
2021-10-13,2,1.0077,929.1620,27.2204
2021-10-13,4,1.0253,921.6703,26.5018
2021-10-15,2,0.9791,927.5813,27.2674
2021-10-15,4,1.0287,924.6927,26.4144
2021-10-20,2,1.0222,926.5320,27.2883
2021-10-20,4,1.0146,933.7354,26.1562
2021-10-21,4,0.9719,925.7037,26.3852
2021-10-21,2,0.9797,924.1799,27.3687
2021-10-21,4,0.9996,923.1518,26.4589
2021-10-21,2,0.9755,927.2750,26.3420
2021-11-03,2,1.0082,927.3673,26.3394
2021-11-03,4,1.0038,930.3450,26.2524
2021-11-04,2,1.0349,924.8707,26.4002
2021-11-04,2,1.0058,924.0758,26.4167
