"","Fish_ID_Revised","Collection_Date","site","Arena1","arena2","ascv","c_b_cys","ce_sha","cov","ctv","de_sal","fa_mar","fl_psy","ic_hof","ic_mul","ihnv","lo_sal","my_arc","my_ins","na_sal","ne_per","pa_kab","pa_min","pa_pse","pa_ther","pisck_sal","prv","pspv","reov","rlo","sch","smallUK","sp_des","te_bry","te_mar","toti","ven","vhsv","vi_ang","vi_sal","path_richness"
"1","CC-1-2019","6/1/2019","CC",0,0,0,0,0,0,0,0,0,34.57915505,0,0,0,9.081934407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"2","CC-4-2019","6/1/19","CC",0,0,0,0,0,0,0,0,0,2867.114563,0,0,0,0,0,0,0,0,4728.707739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"3","CC-8-2019","6/1/2019","CC",0,0,0,25418.02414,0,0,0,0,0,781.7664592,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"4","CC-10-2019","6/1/2019","CC",0,0,0,1347.639945,0,0,0,0,0,805.1128333,0,0,0,1234641.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"5","CC-12-2019","6/2/2019","CC",0,0,0,0,0,0,0,0,0,16596.89982,0,0,0,66210.69114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"6","CC-14-2019","6/2/2019","CC",0,0,0,0,0,0,0,0,0,3489.881637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"7","CC-17-2019","6/2/2019","CC",0,0,0,131086.4325,0,0,0,0,0,2617.135157,0,0,0,1993628.365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"8","CC-20-2019","6/2/2019","CC",0,0,0,0,0,0,0,0,0,12425.49382,330.5180974,0,0,1345105.652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"9","GH-1-2019","7/27/2019","GH",0,0,0,308024.108,0,0,0,0,0,8370.844509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"10","GH-2-2019","7/27/2019","GH",0,0,0,97789.84521,0,0,0,0,0,20765.79581,0,0,0,393.4007308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1513.222061,0,0,0,0,0,0,4
"11","GH-3-2019","7/27/2019","GH",0,0,0,180563.1278,0,0,0,0,0,11223.17956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25985.28482,0,0,0,0,0,0,3
"12","GH-4-2019","7/27/2019","GH",0,0,0,1004868.686,0,0,0,0,0,3720.209758,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,119785.6363,0,0,0,0,0,0,3
"13","GH-7-2019","7/27/2019","GH",0,0,0,89859.07354,0,0,0,0,0,663.6528493,0,0,37.96462753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"14","GH-8-2019","7/27/2029","GH",0,0,0,3613956.111,0,0,0,0,0,49594.00446,0,0,0,156460.4559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8132.343603,0,0,0,0,0,0,4
"15","GH-9-2019","7/27/2019","GH",0,0,0,657796.0703,0,0,0,0,0,6374.894851,0,0,0,4231043.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54610.31604,0,0,0,0,0,0,4
"16","GH-10-2019","7/27/2019","GH",0,0,0,537645.5411,0,0,0,0,0,1409.046446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78946.66224,0,0,0,0,0,0,3
"17","GH-11-2019","8/17/2019","GH",0,0,0,1081400.749,0,0,0,16.80916846,0,69160.88962,0,92.29906126,16.01319519,1613959.089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"18","GH-12-2019","8/17/2019","GH",0,0,0,1888923.657,0,0,0,0,0,873304.5819,0,51.87569454,766.1371179,0,0,0,0,0,0,6.176247598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"19","GH-14-2019","8/18/2019","GH",0,0,0,2218996.181,0,0,0,0,0,1701291.84,0,140.2464604,490.4981131,50905.56153,0,0,0,0,0,0,169491.3995,0,0,0,0,0,0,0,0,0,2528.145322,0,0,0,0,0,0,7
"20","GH-15-2019","8/17/2019","GH",0,0,0,5213162.994,0,0,0,0,0,174226.6237,0,0,17745.68973,6757282.834,0,0,0,0,0,0,342.7624345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
