"","Fish_ID_Revised","Fish_ID","GillClip_ID_Revised","GillClip_ID","Collection_Date","Processing_Date","Col_Location_Lat","Col_Location_Long","site","Fish_Wt","Fish_Leng_1","Fish_Leng_1_tape","Fish_Leng_2","Fish_Leng_2_tape","Fish_Ht","Fish_Ht_tape","Fish_Wdth","Fish_Grth","Sex","Gonad_Wt","DWP.","Fem_Fecun_1_num","Fem_Fecun_1_wt","Fem_Fecun_2_num","Fem_Fecun_2_wt","Fem_Fecun_3_num","Fem_Fecun_3_wt","Fem_Egg_Sz_1","Fem_Egg_Sz_2","Fem_Egg_Sz_3","Carcass.guts_Wt","Oto_Well_ID","Strontium_marked_Y.N","Scales_Y.N","Scales_num","Fish_Ground_Y.N","Gonad_Saved_Y.N","Gonad_Saved_wt","Fat_Meter_1._L","Fat_Meter_1._R","Fat_Meter_2._L","Fat_Meter_2._R","Fat_Meter_3._L","Fat_Meter_3._R","Fat_Meter_4._L","Fat_Meter_4._R","Dissect_Comments","Date_LabDryStart","Fish.BagWt_g","Date_LabDryFinal","DryFish.BagWt_g","Pwater","Pdry","Dry_Comments","Date_BCProcess","Bomb_ID_1","Bomb_PelletWt_g_1","EE_Value_1","EnergyDensity_mJ.kg_1","EnergyPDry_2","Bomb_ID_2","Bomb_PelletWt_g_2","EE_value_2","EnergyDensity_mJ.kg_2","EnergyPDry_2.1","Bomb_ID_3","Bomb_PelletWt_g_3","EE_value_3","EnergyDensity_mJ.kg_3","EnergyPDry_3","Bomb_ID_4","Bomb_PelletWt_g_4","EE_value_4","EnergyDensity_mJ.kg_4","EnergyPDry_4","BC_comments"
"61","GH-1-2019","GK1-2019","GH-1-19","GK1","7/27/2019","8/8/2019",63.06732669,-145.5138318,"FC",1.984,43.7,46,6.7,8.2,11.8,12.1,6.5,28.8,"M",0.048,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.89,"1-H9","N","Y",5,"Y","Y",0.022,0.7,1,0.9,0.7,0.7,1,0.7,0.9,"","11/3/2019",105.7,"11/10/2019",26.3,"0.7512","0.2488","","11/26/2019",2,0.2375,923.1981,21.393,5.322950804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"62","GH-2-2019","GK2-2019","GH-2-19","GK2","7/27/2019","8/8/2019",63.06732669,-145.5138318,"FC",1.414,39.6,41,5.7,6.1,10.7,11.1,5.8,26.9,"M",0.038,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.31,"1-H6","N","Y",5,"Y","Y",0.019,0.7,1,0.7,0.7,0.8,1,0.7,0.7,"","11/3/2019",120.9,"11/10/2019",33.4,"0.7237","0.2763","","11/26/2019",4,0.2183,923.3249,22.7845,6.294477254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"63","GH-3-2019","GK3-2019","GH-3-19","GK3","7/27/2019","8/7/2019",63.06732669,-145.5138318,"FC",2.19,47.2,47.4,7.1,7.5,12.5,12.6,6.9,30.4,"M",0.046,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,2.064,"1-G3","N","Y",5,"Y","Y",0.022,0.7,0.7,0.8,0.6,1,0.5,0.5,0.6,"","11/3/2019",106,"11/10/2019",24.6,"0.7679","0.2321","","11/26/2019",2,0.2278,923.1981,20.7418,4.813663019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"64","GH-4-2019","GK4-2019","GH-4-19","GK4","7/27/2019","8/8/2019",63.06732669,-145.5138318,"FC",2.11,44.7,46,6.5,6.9,13.4,13.8,7.1,30.9,"M",0.026,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.99,"1-H10","N","Y",5,"Y","Y",0.008,0.7,0.7,0.6,0.7,0.6,0.8,0.8,0.8,"","11/3/2019",201.8,"11/10/2019",48,"0.7621","0.2379","","11/26/2019",4,0.2998,923.3249,22.0355,5.241347869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"65","GH-5-2019","GK5-2019","GH-5-19","GK5","7/27/2019","8/8/2019",63.06732669,-145.5138318,"FC",1.63,42.6,43.5,5.8,6.4,10.8,11.4,6.2,27,"M",0.042,"N/A",NA,NA,NA,NA,NA,NA,NA,NA,NA,1.534,"1-H11","N","Y",5,"Y","Y",0.02,0.8,0.9,1,0.7,1,0.6,0.9,0.6,"","11/3/2019",150.8,"11/10/2019",38.1,"0.7473","0.2527","","11/26/2019",2,0.3226,923.1981,21.9064,5.534707162,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"66","GH-6-2019","GK6-2019","GH-6-19","GK6","7/27/2019","8/7/2019",63.06732669,-145.5138318,"FC",1.376,41.4,42.1,3.4,3.6,10,10.5,6.3,27.2,"F",0.21,"N/A",49,3.7829,52,4.3651,45,3.971,4.7,4.9,4.4,1.118,"1-G9","N","Y",5,"Y","Y",0.102,0.9,0.8,0.9,0.8,0.8,0.8,1.2,1.3,"","11/3/2019",137,"11/10/2019",34.7,"0.7467","0.2533","","11/26/2019",4,0.2888,923.3249,23.0405,5.835805474,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"67","GH-7-2019","GK7-2019","GH-7-19","GK7","7/27/2019","8/7/2019",63.06732669,-145.5138318,"FC",1.184,39.8,40,3.5,3.9,8.8,9.7,5.3,24,"F",0.188,"N/A",68,6.2316,82,9.5306,47,5.5035,4.7,4.2,4.5,0.948,"1-G1","N","Y",5,"Y","Y",0.1,0.7,1.1,1.3,0.8,1.3,0.7,1,0.7,"","11/3/2019",157.8,"11/10/2019",37.7,"0.7611","0.2389","","11/26/2019",2,0.304,923.1981,19.3525,4.62350602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"68","GH-8-2019","GK8-2019","GH-8-19","GK8","7/27/2029","8/7/2019",63.06732669,-145.5138318,"FC",1.444,41.6,42.1,3.3,3.8,6.4,10.2,5.6,25.2,"F",0.236,"N/A",61,7.1919,75,9.5798,48,4.18,4.8,4.6,4.3,1.148,"1-G2","N","Y",5,"Y","Y",0.138,0.7,0.6,0.8,0.7,0.6,0.7,0.6,0.6,"","11/3/2019",193.6,"11/10/2019",43.1,"0.7774","0.2226","","11/26/2019",4,0.3865,923.3249,19.4505,4.330147469,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"69","GH-9-2019","GK9-2019","GH-9-19","GK9","7/27/2019","8/7/2019",63.06732669,-145.5138318,"FC",2.078,46.2,46.7,4.6,5.2,12.2,11.7,6.9,30.1,"F",0.44,"N/A",50,6.4796,85,10.2085,93,10.5876,5.1,5.3,5.1,1.59,"1-F12","N","Y",5,"Y","Y",0.18,1,1.1,1,1.1,0.8,1.4,0.7,1.1,"","11/3/2019",132,"11/10/2019",35.2,"0.7333","0.2667","","11/26/2019",2,0.3096,923.1981,22.9675,6.124666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
"70","GH-10-2019","GK10-2019","GH-10-19","GK10","7/27/2019","8/7/2019",63.06732669,-145.5138318,"FC",1.334,40.2,41.6,3.4,4,9,10.2,5.5,24.1,"F",0.198,"N/A",64,3.9213,89,5.3753,60,3.7846,4.4,4.3,4.1,1.08,"1-G8","N","Y",5,"Y","Y",0.116,1,1.1,0.9,1,0.8,1,1,1.2,"","11/3/2019",95.2,"11/10/2019",25.7,"0.7300","0.2700","","11/26/2019",4,0.3218,923.3249,22.2529,6.007348004,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,""
